"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Lying Leg Curls",2012-08-06,1001,15,,5,,"15 kg || 5 reps","8"
"Lying Leg Curls",2012-11-18,101,10,,12,,"10 kg || 12 reps","9"
"Lying Leg Curls",2012-11-18,102,15,,12,,"15 kg || 12 reps","10"
"Lying Leg Curls",2012-11-18,103,20,,12,,"20 kg || 12 reps","10"
"Lying Leg Curls",2012-11-18,104,22,,12,,"22 kg || 12 reps","11"
"Lying Leg Curls",2012-11-18,105,25,,12,,"25 kg || 12 reps","11"
"Lying Leg Curls",2012-12-12,201,15,,10,,"15 kg || 10 reps","9"
"Lying Leg Curls",2012-12-12,202,15,,10,,"15 kg || 10 reps","9"
"Lying Leg Curls",2012-12-12,203,20,,10,,"20 kg || 10 reps","10"
"Lying Leg Curls",2012-12-12,204,20,,10,,"20 kg || 10 reps","10"
"Lying Leg Curls",2012-12-12,205,20,,10,,"20 kg || 10 reps","10"
"Lying Leg Curls",2013-06-10,601,20,,10,,"20 kg || 10 reps","10"
"Lying Leg Curls",2013-06-10,602,25,,10,,"25 kg || 10 reps","11"
"Lying Leg Curls",2013-06-12,301,30,,10,,"30 kg || 10 reps","12"
"Lying Leg Curls",2013-06-12,302,30,,15,,"30 kg || 15 reps","12"
"Lying Leg Curls",2013-06-17,701,35,,15,,"35 kg || 15 reps","13"
"Lying Leg Curls",2013-06-17,702,25,,20,,"25 kg || 20 reps","12"
"Lying Leg Curls",2013-06-17,703,25,,20,,"25 kg || 20 reps","12"
"Lying Leg Curls",2013-06-19,501,25,,10,,"25 kg || 10 reps","11"
"Lying Leg Curls",2013-06-19,502,35,,10,,"35 kg || 10 reps","13"
"Lying Leg Curls",2013-06-19,503,35,,10,,"35 kg || 10 reps","13"
"Lying Leg Curls",2013-10-18,1,20,,15,,"20 kg || 15 reps","11"
"Lying Leg Curls",2013-10-18,2,25,,15,,"25 kg || 15 reps","12"
"Lying Leg Curls",2013-10-18,3,30,,15,,"30 kg || 15 reps","12"
"Lying Leg Curls",2013-10-18,4,30,,15,,"30 kg || 15 reps","12"
"Lying Leg Curls",2013-10-18,5,30,,15,,"30 kg || 15 reps","12"
"Lying Leg Curls",2013-11-20,14,10,,15,,"10 kg || 15 reps","9"
"Lying Leg Curls",2013-11-20,15,15,,20,,"15 kg || 20 reps","10"
"Lying Leg Curls",2013-11-20,16,17.5,,20,,"17.5 kg || 20 reps","11"
"Lying Leg Curls",2013-11-22,12,15,,20,,"15 kg || 20 reps","10"
"Lying Leg Curls",2013-11-22,13,15,,20,,"15 kg || 20 reps","10"
"Lying Leg Curls",2013-11-27,1,17,,20,,"17 kg || 20 reps","11"
"Lying Leg Curls",2013-11-27,2,22,,20,,"22 kg || 20 reps","12"
"Lying Leg Curls",2013-12-08,1,10,,20,,"10 kg || 20 reps","10"
"Lying Leg Curls",2013-12-08,2,15,,20,,"15 kg || 20 reps","10"
"Lying Leg Curls",2014-01-06,7,17.5,,15,,"17.5 kg || 15 reps","10"
"Lying Leg Curls",2014-01-06,8,17.5,,15,,"17.5 kg || 15 reps","10"
"Lying Leg Curls",2014-01-06,9,17.5,,15,,"17.5 kg || 15 reps","10"
"Lying Leg Curls",2014-02-04,9,20,,15,,"20 kg || 15 reps","11"
"Lying Leg Curls",2014-02-21,1,20,,25,,"20 kg || 25 reps","12"
"Lying Leg Curls",2014-02-21,2,20,,25,,"20 kg || 25 reps","12"
"Lying Leg Curls",2014-03-03,4,20,,15,,"20 kg || 15 reps","11"
