"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Machine Bench Press",2013-05-22,201,35,,5,,"35 kg || 5 reps","28"
"Machine Bench Press",2013-05-22,202,50,,5,,"50 kg || 5 reps","34"
"Machine Bench Press",2013-05-22,203,65,,5,,"65 kg || 5 reps","43"
"Machine Bench Press",2013-05-22,204,75,,5,,"75 kg || 5 reps","50"
"Machine Bench Press",2013-05-22,205,80,,5,,"80 kg || 5 reps","54"
"Machine Bench Press",2013-05-22,206,85,,1,,"85 kg || 1 reps","32"
"Machine Bench Press",2013-05-25,201,40,,16,,"40 kg || 16 reps","38"
"Machine Bench Press",2013-05-25,202,60,,5,,"60 kg || 5 reps","40"
"Machine Bench Press",2013-05-25,203,70,,8,,"70 kg || 8 reps","53"
"Machine Bench Press",2013-05-25,204,80,,4,,"80 kg || 4 reps","49"
"Machine Bench Press",2013-08-26,1201,35,,10,,"35 kg || 10 reps","32"
"Machine Bench Press",2013-08-26,1202,50,,10,,"50 kg || 10 reps","41"
"Machine Bench Press",2013-08-26,1203,70,,10,,"70 kg || 10 reps","55"
"Machine Bench Press",2013-08-26,1204,80,,5,,"80 kg || 5 reps","54"
"Machine Bench Press",2013-08-29,301,50,,10,,"50 kg || 10 reps","41"
"Machine Bench Press",2013-08-29,302,70,,5,,"70 kg || 5 reps","47"
"Machine Bench Press",2013-08-29,303,75,,5,,"75 kg || 5 reps","50"
"Machine Bench Press",2013-08-29,304,80,,5,,"80 kg || 5 reps","54"
"Machine Bench Press",2013-08-29,305,85,,5,,"85 kg || 5 reps","58"
"Machine Bench Press",2013-08-29,306,90,,5,,"90 kg || 5 reps","63"
"Machine Bench Press",2013-08-29,307,95,,3,,"95 kg || 3 reps","54"
