"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Machine Preacher Curls",2013-06-10,701,10,,20,,"10 kg || 20 reps","10"
"Machine Preacher Curls",2013-06-10,702,15,,20,,"15 kg || 20 reps","10"
"Machine Preacher Curls",2013-06-10,703,17.5,,15,,"17.5 kg || 15 reps","10"
"Machine Preacher Curls",2013-06-10,704,17.5,,15,,"17.5 kg || 15 reps","10"
"Machine Preacher Curls",2013-06-10,705,20,,15,,"20 kg || 15 reps","11"
"Machine Preacher Curls",2013-06-12,501,20,,20,,"20 kg || 20 reps","11"
"Machine Preacher Curls",2013-06-12,502,20,,20,,"20 kg || 20 reps","11"
"Machine Preacher Curls",2013-06-12,503,30,,10,,"30 kg || 10 reps","12"
"Machine Preacher Curls",2013-06-17,401,20,,20,,"20 kg || 20 reps","11"
"Machine Preacher Curls",2013-06-17,402,25,,15,,"25 kg || 15 reps","12"
"Machine Preacher Curls",2013-06-17,403,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-06-19,701,35,,10,,"35 kg || 10 reps","13"
"Machine Preacher Curls",2013-06-19,702,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-06-19,703,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-06-22,401,20,,20,,"20 kg || 20 reps","11"
"Machine Preacher Curls",2013-06-22,402,25,,10,,"25 kg || 10 reps","11"
"Machine Preacher Curls",2013-06-22,403,30,,5,,"30 kg || 5 reps","10"
"Machine Preacher Curls",2013-06-24,401,30,,10,,"30 kg || 10 reps","12"
"Machine Preacher Curls",2013-06-24,402,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-06-24,403,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-06-29,401,30,,5,,"30 kg || 5 reps","10"
"Machine Preacher Curls",2013-06-29,402,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-06-29,403,35,,5,,"35 kg || 5 reps","11"
"Machine Preacher Curls",2013-07-08,301,25,,10,,"25 kg || 10 reps","11"
"Machine Preacher Curls",2013-07-13,701,22.5,,12,,"22.5 kg || 12 reps","11"
"Machine Preacher Curls",2013-07-13,702,22.5,,12,,"22.5 kg || 12 reps","11"
"Machine Preacher Curls",2013-07-13,703,22.5,,12,,"22.5 kg || 12 reps","11"
"Machine Preacher Curls",2013-07-15,701,32.5,,5,,"32.5 kg || 5 reps","10"
"Machine Preacher Curls",2013-07-15,702,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-07-15,703,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-07-22,401,30,,12,,"30 kg || 12 reps","12"
"Machine Preacher Curls",2013-07-22,402,30,,12,,"30 kg || 12 reps","12"
"Machine Preacher Curls",2013-07-22,403,35,,8,,"35 kg || 8 reps","12"
"Machine Preacher Curls",2013-07-22,404,35,,8,,"35 kg || 8 reps","12"
"Machine Preacher Curls",2013-07-22,405,35,,8,,"35 kg || 8 reps","12"
"Machine Preacher Curls",2013-07-24,501,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-07-24,502,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-07-24,503,40,,5,,"40 kg || 5 reps","12"
"Machine Preacher Curls",2013-08-07,101,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,102,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,103,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,104,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,105,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,106,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,107,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,108,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,109,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,110,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,111,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,112,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,113,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,114,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,115,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,116,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,117,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,118,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,119,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,120,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,121,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,122,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,123,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,124,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,125,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,126,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,127,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,128,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,129,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,130,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,131,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,132,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,133,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,134,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,135,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,136,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,137,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,138,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,139,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2013-08-07,140,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2014-01-09,4,15,,15,,"15 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-09,5,15,,15,,"15 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-09,6,15,,15,,"15 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-12,1,15,,15,,"15 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-12,2,17.5,,15,,"17.5 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-12,3,17.5,,15,,"17.5 kg || 15 reps","10"
"Machine Preacher Curls",2014-01-18,10,17.5,,14,,"17.5 kg || 14 reps","10"
"Machine Preacher Curls",2014-01-18,11,17.5,,14,,"17.5 kg || 14 reps","10"
"Machine Preacher Curls",2014-01-18,12,17.5,,14,,"17.5 kg || 14 reps","10"
"Machine Preacher Curls",2014-02-08,11,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,12,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,13,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,14,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,15,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,16,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,17,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,18,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,19,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,20,20,,10,,"20 kg || 10 reps","10"
"Machine Preacher Curls",2014-02-08,21,25,,5,,"25 kg || 5 reps","9"
"Machine Preacher Curls",2014-02-08,22,30,,5,,"30 kg || 5 reps","10"
