"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Machine Seated Row",2013-05-21,1001,25,,12,,"25 kg || 12 reps","19"
"Machine Seated Row",2013-05-21,1002,45,,5,,"45 kg || 5 reps","22"
"Machine Seated Row",2013-05-21,1003,55,,5,,"55 kg || 5 reps","25"
"Machine Seated Row",2013-05-21,1004,55,,5,,"55 kg || 5 reps","25"
"Machine Seated Row",2013-05-21,1005,60,,5,,"60 kg || 5 reps","27"
"Machine Seated Row",2013-05-21,1006,60,,5,,"60 kg || 5 reps","27"
"Machine Seated Row",2013-05-21,1007,65,,5,,"65 kg || 5 reps","29"
"Machine Seated Row",2013-05-21,1008,70,,5,,"70 kg || 5 reps","32"
"Machine Seated Row",2013-05-21,1009,75,,5,,"75 kg || 5 reps","34"
"Machine Seated Row",2013-05-23,1,35,,5,,"35 kg || 5 reps","19"
"Machine Seated Row",2013-05-23,2,50,,5,,"50 kg || 5 reps","23"
"Machine Seated Row",2013-05-23,3,60,,5,,"60 kg || 5 reps","27"
"Machine Seated Row",2013-05-23,4,70,,5,,"70 kg || 5 reps","32"
"Machine Seated Row",2013-05-23,5,70,,5,,"70 kg || 5 reps","32"
"Machine Seated Row",2013-05-23,6,80,,5,,"80 kg || 5 reps","37"
"Machine Seated Row",2013-05-23,7,85,,3,,"85 kg || 3 reps","32"
"Machine Seated Row",2013-05-23,8,85,,3,,"85 kg || 3 reps","32"
"Machine Seated Row",2013-05-23,9,90,,3,,"90 kg || 3 reps","34"
"Machine Seated Row",2013-05-23,10,90,,3,,"90 kg || 3 reps","34"
"Machine Seated Row",2013-05-25,1,45,,5,,"45 kg || 5 reps","22"
"Machine Seated Row",2013-05-25,2,60,,5,,"60 kg || 5 reps","27"
"Machine Seated Row",2013-05-25,3,65,,5,,"65 kg || 5 reps","29"
"Machine Seated Row",2013-05-25,4,65,,10,,"65 kg || 10 reps","34"
