"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Machine Shoulder (Military) Press",2013-05-22,401,15,,5,,"15 kg || 5 reps","14"
"Machine Shoulder (Military) Press",2013-05-22,402,30,,5,,"30 kg || 5 reps","18"
"Machine Shoulder (Military) Press",2013-05-22,403,45,,5,,"45 kg || 5 reps","23"
"Machine Shoulder (Military) Press",2013-05-22,404,55,,5,,"55 kg || 5 reps","27"
"Machine Shoulder (Military) Press",2013-05-22,405,60,,5,,"60 kg || 5 reps","29"
"Machine Shoulder (Military) Press",2013-05-22,406,60,,5,,"60 kg || 5 reps","29"
"Machine Shoulder (Military) Press",2013-05-22,407,60,,5,,"60 kg || 5 reps","29"
"Machine Shoulder (Military) Press",2013-05-25,101,35,,5,,"35 kg || 5 reps","20"
"Machine Shoulder (Military) Press",2013-05-25,102,40,,5,,"40 kg || 5 reps","21"
"Machine Shoulder (Military) Press",2013-05-25,103,50,,5,,"50 kg || 5 reps","25"
"Machine Shoulder (Military) Press",2013-05-25,104,55,,5,,"55 kg || 5 reps","27"
"Machine Shoulder (Military) Press",2013-05-25,105,55,,5,,"55 kg || 5 reps","27"
"Machine Shoulder (Military) Press",2013-05-25,106,55,,5,,"55 kg || 5 reps","27"
"Machine Shoulder (Military) Press",2013-05-25,107,60,,5,,"60 kg || 5 reps","29"
"Machine Shoulder (Military) Press",2013-08-26,301,20,,5,,"20 kg || 5 reps","16"
"Machine Shoulder (Military) Press",2013-08-26,302,20,,10,,"20 kg || 10 reps","19"
"Machine Shoulder (Military) Press",2013-08-26,303,20,,10,,"20 kg || 10 reps","19"
"Machine Shoulder (Military) Press",2013-08-26,304,35,,5,,"35 kg || 5 reps","20"
"Machine Shoulder (Military) Press",2013-08-26,305,45,,5,,"45 kg || 5 reps","23"
