"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Muscle Snatch",2013-11-18,1,44,,1,,"44 kg || 1 reps","46"
"Muscle Snatch",2013-11-18,2,44,,1,,"44 kg || 1 reps","46"
"Muscle Snatch",2013-11-18,3,44,,1,,"44 kg || 1 reps","46"
"Muscle Snatch",2013-11-19,1,44,,1,,"44 kg || 1 reps","46"
"Muscle Snatch",2013-11-19,2,44,,1,,"44 kg || 1 reps","46"
"Muscle Snatch",2013-11-24,4,30,,1,,"30 kg || 1 reps","37"
"Muscle Snatch",2013-11-24,5,30,,1,,"30 kg || 1 reps","37"
"Muscle Snatch",2013-11-24,6,30,,1,,"30 kg || 1 reps","37"
"Muscle Snatch",2013-11-24,7,30,,1,,"30 kg || 1 reps","37"
"Muscle Snatch",2013-11-24,8,30,,1,,"30 kg || 1 reps","37"
"Muscle Snatch",2013-11-24,9,40,,1,,"40 kg || 1 reps","43"
"Muscle Snatch",2013-12-01,7,40,,1,,"40 kg || 1 reps","43"
"Muscle Snatch",2013-12-01,8,40,,1,,"40 kg || 1 reps","43"
"Muscle Snatch",2013-12-01,9,45,,1,,"45 kg || 1 reps","47"
"Muscle Snatch",2013-12-10,31,40,,3,,"40 kg || 3 reps","63"
"Muscle Snatch",2013-12-10,32,40,,3,,"40 kg || 3 reps","63"
"Muscle Snatch",2013-12-10,33,40,,3,,"40 kg || 3 reps","63"
"Muscle Snatch",2013-12-10,34,40,,3,,"40 kg || 3 reps","63"
"Muscle Snatch",2013-12-10,35,40,,3,,"40 kg || 3 reps","63"
"Muscle Snatch",2014-02-15,2,30,,5,,"30 kg || 5 reps","68"
"Muscle Snatch",2014-02-15,3,30,,5,,"30 kg || 5 reps","68"
"Muscle Snatch",2014-02-15,4,30,,5,,"30 kg || 5 reps","68"
