"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Dumbbell Deadlift",2012-04-25,101,17.5,,5,,"17.5 kg || 5 reps","34"
"One-Arm Dumbbell Deadlift",2012-04-25,102,17.5,,5,,"17.5 kg || 5 reps","34"
"One-Arm Dumbbell Deadlift",2012-04-25,103,17.5,,5,,"17.5 kg || 5 reps","34"
"One-Arm Dumbbell Deadlift",2012-04-25,104,17.5,,5,,"17.5 kg || 5 reps","34"
"One-Arm Dumbbell Deadlift",2012-04-25,105,17.5,,5,,"17.5 kg || 5 reps","34"
"One-Arm Dumbbell Deadlift",2014-03-03,3,33,,8,,"33 kg || 8 reps","49"
"One-Arm Dumbbell Deadlift",2014-03-18,7,43,,6,,"43 kg || 6 reps","53"
"One-Arm Dumbbell Deadlift",2014-03-18,8,53,,5,,"53 kg || 5 reps","58"
"One-Arm Dumbbell Deadlift",2014-03-18,9,53,,3,,"53 kg || 3 reps","46"
"One-Arm Dumbbell Deadlift",2014-03-23,13,38,,6,,"38 kg || 6 reps","49"
