"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Dumbbell Floor Press",2012-10-25,401,7.5,,8,,"7.5 kg || 8 reps","50"
"One-Arm Dumbbell Floor Press",2012-10-25,402,10,,8,,"10 kg || 8 reps","54"
"One-Arm Dumbbell Floor Press",2012-10-25,403,11,,8,,"11 kg || 8 reps","55"
"One-Arm Dumbbell Floor Press",2012-11-03,101,10,,10,,"10 kg || 10 reps","57"
"One-Arm Dumbbell Floor Press",2012-11-03,102,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-03,103,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-06,301,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-06,302,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-06,303,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-08,401,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-08,402,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-11-08,403,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-12-18,601,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-12-18,602,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-12-18,603,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2012-12-31,701,17.5,,12,,"17.5 kg || 12 reps","74"
"One-Arm Dumbbell Floor Press",2013-01-03,301,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-01-03,302,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2013-01-03,303,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2013-01-03,304,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2013-01-03,305,12.5,,10,,"12.5 kg || 10 reps","61"
"One-Arm Dumbbell Floor Press",2013-01-10,301,12,,10,,"12 kg || 10 reps","60"
"One-Arm Dumbbell Floor Press",2013-01-10,302,12,,10,,"12 kg || 10 reps","60"
"One-Arm Dumbbell Floor Press",2013-01-10,303,12,,10,,"12 kg || 10 reps","60"
"One-Arm Dumbbell Floor Press",2013-01-10,304,12,,10,,"12 kg || 10 reps","60"
"One-Arm Dumbbell Floor Press",2013-01-10,305,12,,10,,"12 kg || 10 reps","60"
"One-Arm Dumbbell Floor Press",2013-01-16,301,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-01-16,302,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-01-16,303,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-01-16,304,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-01-16,305,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-02-03,201,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-02-03,202,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-02-03,203,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-02-03,204,17.5,,10,,"17.5 kg || 10 reps","71"
"One-Arm Dumbbell Floor Press",2013-02-03,205,17.5,,10,,"17.5 kg || 10 reps","71"
