"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Dumbbell Row",2012-01-18,301,12,,8,,"12 kg || 8 reps","12"
"One-Arm Dumbbell Row",2012-01-18,302,12,,6,,"12 kg || 6 reps","12"
"One-Arm Dumbbell Row",2012-01-18,303,12,,6,,"12 kg || 6 reps","12"
"One-Arm Dumbbell Row",2012-03-04,101,12,,8,,"12 kg || 8 reps","34"
"One-Arm Dumbbell Row",2012-03-04,102,12,,8,,"12 kg || 8 reps","34"
"One-Arm Dumbbell Row",2012-03-04,103,12,,8,,"12 kg || 8 reps","34"
"One-Arm Dumbbell Row",2012-04-25,1,17.5,,5,,"17.5 kg || 5 reps","32"
"One-Arm Dumbbell Row",2012-04-25,2,17.5,,5,,"17.5 kg || 5 reps","32"
"One-Arm Dumbbell Row",2012-04-25,3,17.5,,5,,"17.5 kg || 5 reps","32"
"One-Arm Dumbbell Row",2012-04-25,4,17.5,,5,,"17.5 kg || 5 reps","32"
"One-Arm Dumbbell Row",2012-04-25,5,17.5,,5,,"17.5 kg || 5 reps","32"
"One-Arm Dumbbell Row",2012-11-02,401,7.5,,10,,"7.5 kg || 10 reps","33"
"One-Arm Dumbbell Row",2012-11-02,402,12,,10,,"12 kg || 10 reps","35"
