"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Kettlebell Clean",2012-08-29,301,8,,5,,"8 kg || 5 reps","37"
"One-Arm Kettlebell Clean",2012-08-29,302,8,,5,,"8 kg || 5 reps","37"
"One-Arm Kettlebell Clean",2012-08-31,101,12,,3,,"12 kg || 3 reps","33"
"One-Arm Kettlebell Clean",2012-08-31,102,12,,3,,"12 kg || 3 reps","33"
"One-Arm Kettlebell Clean",2012-08-31,103,12,,3,,"12 kg || 3 reps","33"
"One-Arm Kettlebell Clean",2012-08-31,104,12,,3,,"12 kg || 3 reps","33"
"One-Arm Kettlebell Clean",2012-08-31,105,12,,3,,"12 kg || 3 reps","33"
"One-Arm Kettlebell Clean",2012-08-31,106,20,,1,,"20 kg || 1 reps","28"
"One-Arm Kettlebell Clean",2012-09-12,201,12,,5,,"12 kg || 5 reps","42"
"One-Arm Kettlebell Clean",2012-09-12,202,12,,10,,"12 kg || 10 reps","52"
"One-Arm Kettlebell Clean",2012-09-12,203,12,,10,,"12 kg || 10 reps","52"
"One-Arm Kettlebell Clean",2012-10-14,401,16,,12,,"16 kg || 12 reps","61"
"One-Arm Kettlebell Clean",2013-02-13,101,8,,10,,"8 kg || 10 reps","46"
"One-Arm Kettlebell Clean",2013-02-13,102,12,,10,,"12 kg || 10 reps","52"
"One-Arm Kettlebell Clean",2013-02-13,103,16,,8,,"16 kg || 8 reps","55"
"One-Arm Kettlebell Clean",2013-02-25,201,16,,10,,"16 kg || 10 reps","58"
