"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Kettlebell Snatch",2012-08-11,101,6,,5,,"6 kg || 5 reps","28"
"One-Arm Kettlebell Snatch",2012-08-11,102,6,,10,,"6 kg || 10 reps","35"
"One-Arm Kettlebell Snatch",2012-08-11,103,6,,10,,"6 kg || 10 reps","35"
"One-Arm Kettlebell Snatch",2012-08-11,104,8,,10,,"8 kg || 10 reps","37"
"One-Arm Kettlebell Snatch",2012-08-13,201,8,,10,,"8 kg || 10 reps","37"
"One-Arm Kettlebell Snatch",2012-08-13,202,8,,15,,"8 kg || 15 reps","42"
"One-Arm Kettlebell Snatch",2012-08-24,901,8,,10,,"8 kg || 10 reps","37"
"One-Arm Kettlebell Snatch",2012-08-29,401,8,,5,,"8 kg || 5 reps","30"
"One-Arm Kettlebell Snatch",2012-08-29,402,8,,5,,"8 kg || 5 reps","30"
"One-Arm Kettlebell Snatch",2012-08-29,403,8,,10,,"8 kg || 10 reps","37"
"One-Arm Kettlebell Snatch",2012-08-29,404,8,,5,,"8 kg || 5 reps","30"
"One-Arm Kettlebell Snatch",2012-08-29,405,8,,20,,"8 kg || 20 reps","46"
"One-Arm Kettlebell Snatch",2012-08-30,101,12,,5,,"12 kg || 5 reps","34"
"One-Arm Kettlebell Snatch",2012-08-31,1,12,,3,,"12 kg || 3 reps","27"
"One-Arm Kettlebell Snatch",2012-08-31,2,12,,3,,"12 kg || 3 reps","27"
"One-Arm Kettlebell Snatch",2012-08-31,3,12,,3,,"12 kg || 3 reps","27"
"One-Arm Kettlebell Snatch",2012-08-31,4,12,,3,,"12 kg || 3 reps","27"
"One-Arm Kettlebell Snatch",2012-08-31,5,12,,3,,"12 kg || 3 reps","27"
"One-Arm Kettlebell Snatch",2012-09-12,501,12,,5,,"12 kg || 5 reps","34"
"One-Arm Kettlebell Snatch",2012-09-12,502,12,,10,,"12 kg || 10 reps","42"
"One-Arm Kettlebell Snatch",2012-09-14,601,12,,5,,"12 kg || 5 reps","34"
"One-Arm Kettlebell Snatch",2012-10-14,501,16,,12,,"16 kg || 12 reps","50"
"One-Arm Kettlebell Snatch",2012-12-16,101,16,,8,,"16 kg || 8 reps","45"
"One-Arm Kettlebell Snatch",2013-02-11,801,16,,10,,"16 kg || 10 reps","47"
"One-Arm Kettlebell Snatch",2013-02-11,802,16,,10,,"16 kg || 10 reps","47"
"One-Arm Kettlebell Snatch",2013-02-13,201,8,,10,,"8 kg || 10 reps","37"
"One-Arm Kettlebell Snatch",2013-02-13,202,12,,10,,"12 kg || 10 reps","42"
"One-Arm Kettlebell Snatch",2013-02-13,203,16,,8,,"16 kg || 8 reps","45"
"One-Arm Kettlebell Snatch",2013-02-19,601,16,,10,,"16 kg || 10 reps","47"
"One-Arm Kettlebell Snatch",2013-07-22,1,6,,15,,"6 kg || 15 reps","39"
"One-Arm Kettlebell Snatch",2013-07-22,2,12,,15,,"12 kg || 15 reps","47"
"One-Arm Kettlebell Snatch",2013-08-09,501,10,,20,,"10 kg || 20 reps","48"
"One-Arm Kettlebell Snatch",2013-08-11,401,10,,15,,"10 kg || 15 reps","44"
"One-Arm Kettlebell Snatch",2013-09-11,401,10,,10,,"10 kg || 10 reps","40"
"One-Arm Kettlebell Snatch",2013-12-31,4,6,,12,,"6 kg || 12 reps","37"
"One-Arm Kettlebell Snatch",2013-12-31,5,8,,12,,"8 kg || 12 reps","39"
"One-Arm Kettlebell Snatch",2013-12-31,6,12,,12,,"12 kg || 12 reps","44"
