"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"One-Arm Kettlebell Swing",2012-07-21,501,8,,15,,"8 kg || 15 reps","32"
"One-Arm Kettlebell Swing",2012-08-02,301,8,,30,,"8 kg || 30 reps","47"
"One-Arm Kettlebell Swing",2012-08-02,302,20,,10,,"20 kg || 10 reps","48"
"One-Arm Kettlebell Swing",2012-08-06,101,8,,20,,"8 kg || 20 reps","40"
"One-Arm Kettlebell Swing",2012-08-06,102,20,,15,,"20 kg || 15 reps","53"
"One-Arm Kettlebell Swing",2012-08-11,1,6,,10,,"6 kg || 10 reps","31"
"One-Arm Kettlebell Swing",2012-08-11,2,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,3,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,4,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,5,6,,5,,"6 kg || 5 reps","25"
"One-Arm Kettlebell Swing",2012-08-11,6,20,,10,,"20 kg || 10 reps","48"
"One-Arm Kettlebell Swing",2012-08-11,7,6,,10,,"6 kg || 10 reps","31"
"One-Arm Kettlebell Swing",2012-08-11,8,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,9,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,10,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-11,11,6,,5,,"6 kg || 5 reps","25"
"One-Arm Kettlebell Swing",2012-08-13,101,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-13,102,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-13,103,8,,15,,"8 kg || 15 reps","37"
"One-Arm Kettlebell Swing",2012-08-13,104,8,,15,,"8 kg || 15 reps","37"
"One-Arm Kettlebell Swing",2012-08-24,1,8,,20,,"8 kg || 20 reps","40"
"One-Arm Kettlebell Swing",2012-08-29,601,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-29,602,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-29,603,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2012-08-29,604,8,,5,,"8 kg || 5 reps","27"
"One-Arm Kettlebell Swing",2012-08-29,605,8,,5,,"8 kg || 5 reps","27"
"One-Arm Kettlebell Swing",2012-08-29,606,20,,5,,"20 kg || 5 reps","38"
"One-Arm Kettlebell Swing",2012-08-30,1,12,,8,,"12 kg || 8 reps","35"
"One-Arm Kettlebell Swing",2012-08-31,201,8,,5,,"8 kg || 5 reps","27"
"One-Arm Kettlebell Swing",2012-08-31,202,8,,5,,"8 kg || 5 reps","27"
"One-Arm Kettlebell Swing",2012-08-31,203,8,,5,,"8 kg || 5 reps","27"
"One-Arm Kettlebell Swing",2012-08-31,204,12,,5,,"12 kg || 5 reps","30"
"One-Arm Kettlebell Swing",2012-08-31,205,12,,5,,"12 kg || 5 reps","30"
"One-Arm Kettlebell Swing",2012-08-31,206,12,,5,,"12 kg || 5 reps","30"
"One-Arm Kettlebell Swing",2012-09-12,101,12,,10,,"12 kg || 10 reps","37"
"One-Arm Kettlebell Swing",2012-09-12,102,12,,10,,"12 kg || 10 reps","37"
"One-Arm Kettlebell Swing",2012-09-17,101,12,,30,,"12 kg || 30 reps","54"
"One-Arm Kettlebell Swing",2012-10-14,301,16,,12,,"16 kg || 12 reps","44"
"One-Arm Kettlebell Swing",2012-10-25,401,16,,10,,"16 kg || 10 reps","42"
"One-Arm Kettlebell Swing",2012-10-25,402,16,,10,,"16 kg || 10 reps","42"
"One-Arm Kettlebell Swing",2012-12-16,1,16,,8,,"16 kg || 8 reps","40"
"One-Arm Kettlebell Swing",2013-01-11,401,16,,25,,"16 kg || 25 reps","56"
"One-Arm Kettlebell Swing",2013-02-13,1,8,,10,,"8 kg || 10 reps","33"
"One-Arm Kettlebell Swing",2013-02-13,2,12,,10,,"12 kg || 10 reps","37"
"One-Arm Kettlebell Swing",2013-02-13,3,16,,8,,"16 kg || 8 reps","40"
"One-Arm Kettlebell Swing",2013-02-19,501,16,,10,,"16 kg || 10 reps","42"
"One-Arm Kettlebell Swing",2013-03-03,1,12,,10,,"12 kg || 10 reps","37"
"One-Arm Kettlebell Swing",2013-03-03,2,16,,10,,"16 kg || 10 reps","42"
"One-Arm Kettlebell Swing",2013-09-11,301,10,,10,,"10 kg || 10 reps","35"
"One-Arm Kettlebell Swing",2013-12-31,13,6,,12,,"6 kg || 12 reps","33"
"One-Arm Kettlebell Swing",2013-12-31,14,8,,12,,"8 kg || 12 reps","35"
"One-Arm Kettlebell Swing",2013-12-31,15,12,,12,,"12 kg || 12 reps","39"
