"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Overhead Barbell Squat",2012-08-19,101,10,,5,,"10 kg || 5 reps","25"
"Overhead Barbell Squat",2012-08-19,102,10,,5,,"10 kg || 5 reps","25"
"Overhead Barbell Squat",2012-08-19,103,17.5,,5,,"17.5 kg || 5 reps","28"
"Overhead Barbell Squat",2012-08-19,104,17.5,,5,,"17.5 kg || 5 reps","28"
"Overhead Barbell Squat",2012-08-22,401,10,,5,,"10 kg || 5 reps","25"
"Overhead Barbell Squat",2012-08-22,402,10,,5,,"10 kg || 5 reps","25"
"Overhead Barbell Squat",2012-08-22,403,20,,5,,"20 kg || 5 reps","29"
"Overhead Barbell Squat",2012-08-22,404,20,,5,,"20 kg || 5 reps","29"
"Overhead Barbell Squat",2012-08-22,405,20,,5,,"20 kg || 5 reps","29"
"Overhead Barbell Squat",2012-08-22,406,20,,5,,"20 kg || 5 reps","29"
"Overhead Barbell Squat",2012-08-22,407,20,,10,,"20 kg || 10 reps","34"
"Overhead Barbell Squat",2012-08-24,201,12.5,,5,,"12.5 kg || 5 reps","26"
"Overhead Barbell Squat",2012-08-24,202,19.5,,5,,"19.5 kg || 5 reps","28"
"Overhead Barbell Squat",2012-08-24,203,19.5,,5,,"19.5 kg || 5 reps","28"
"Overhead Barbell Squat",2012-10-27,101,21,,5,,"21 kg || 5 reps","29"
"Overhead Barbell Squat",2012-10-27,102,25,,5,,"25 kg || 5 reps","31"
"Overhead Barbell Squat",2012-11-18,501,10,,12,,"10 kg || 12 reps","30"
"Overhead Barbell Squat",2012-11-18,502,10,,10,,"10 kg || 10 reps","29"
"Overhead Barbell Squat",2013-05-08,1,14,,5,,"14 kg || 5 reps","32"
"Overhead Barbell Squat",2013-06-04,201,10,,10,,"10 kg || 10 reps","36"
"Overhead Barbell Squat",2013-06-04,202,10,,10,,"10 kg || 10 reps","36"
"Overhead Barbell Squat",2013-12-13,36,10,,5,,"10 kg || 5 reps","30"
"Overhead Barbell Squat",2013-12-13,37,10,,5,,"10 kg || 5 reps","30"
"Overhead Barbell Squat",2013-12-13,38,20,,5,,"20 kg || 5 reps","35"
"Overhead Barbell Squat",2013-12-13,39,20,,5,,"20 kg || 5 reps","35"
"Overhead Barbell Squat",2013-12-13,40,20,,10,,"20 kg || 10 reps","42"
"Overhead Barbell Squat",2014-03-23,3,10,,5,,"10 kg || 5 reps","30"
"Overhead Barbell Squat",2014-03-26,28,30,,3,,"30 kg || 3 reps","33"
"Overhead Barbell Squat",2014-03-26,29,30,,10,,"30 kg || 10 reps","48"
"Overhead Barbell Squat",2014-03-26,30,40,,2,,"40 kg || 2 reps","32"
