"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Parallel-Grip Pull-Up",2012-08-06,601,3,,,,"3 reps","16"
"Parallel-Grip Pull-Up",2012-08-11,501,3,,,,"3 reps","16"
"Parallel-Grip Pull-Up",2012-09-14,801,4,,,,"4 reps","24"
"Parallel-Grip Pull-Up",2012-09-14,802,3,,,,"3 reps","16"
"Parallel-Grip Pull-Up",2012-09-14,803,1,,,,"1 reps","3"
"Parallel-Grip Pull-Up",2013-02-17,701,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-02-17,702,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-02-18,101,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-02-28,101,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-02,101,4,,,,"4 reps","25"
"Parallel-Grip Pull-Up",2013-03-02,102,1,,,,"1 reps","4"
"Parallel-Grip Pull-Up",2013-03-04,201,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-03-08,201,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-03-16,301,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-03-25,1,4,,,,"4 reps","25"
"Parallel-Grip Pull-Up",2013-03-25,2,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-03-26,401,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-28,101,5,,,,"5 reps","34"
"Parallel-Grip Pull-Up",2013-03-28,102,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-28,103,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-03-28,104,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-29,301,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-29,302,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-03-31,301,5,,,,"5 reps","33"
"Parallel-Grip Pull-Up",2013-03-31,302,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-04-04,501,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-04-05,201,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-04-11,501,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-04-16,401,1,,,,"1 reps","4"
"Parallel-Grip Pull-Up",2013-04-22,701,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-04-30,901,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-04-30,902,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-04-30,903,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-05-07,701,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-05-31,301,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-06-06,1,7,,,,"7 reps","50"
"Parallel-Grip Pull-Up",2013-06-06,2,3,,,,"3 reps","16"
"Parallel-Grip Pull-Up",2013-06-06,3,2,,,,"2 reps","9"
"Parallel-Grip Pull-Up",2013-06-14,1,7,,,,"7 reps","52"
"Parallel-Grip Pull-Up",2013-06-14,2,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-06-17,101,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-06-18,101,6,,,,"6 reps","43"
"Parallel-Grip Pull-Up",2013-06-21,1,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-06-21,2,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-06-25,201,3,,5,,"3 reps || weighted || 5 kg","21"
"Parallel-Grip Pull-Up",2013-07-03,401,3,,,,"3 reps","18"
"Parallel-Grip Pull-Up",2013-07-04,101,3,,,,"3 reps","18"
"Parallel-Grip Pull-Up",2013-07-05,101,7,,,,"7 reps","52"
"Parallel-Grip Pull-Up",2013-07-06,1,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-07-22,701,6,,,,"6 reps","43"
"Parallel-Grip Pull-Up",2013-07-22,702,4,,,,"4 reps","25"
"Parallel-Grip Pull-Up",2013-07-22,703,3,,,,"3 reps","17"
"Parallel-Grip Pull-Up",2013-07-27,601,4,,,,"4 reps","26"
"Parallel-Grip Pull-Up",2013-08-09,201,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-08-13,301,4,,,,"4 reps","26"
"Parallel-Grip Pull-Up",2013-08-13,302,3,,,,"3 reps","18"
"Parallel-Grip Pull-Up",2013-08-13,303,2,,,,"2 reps","10"
"Parallel-Grip Pull-Up",2013-09-11,1301,5,,,,"5 reps","34"
"Parallel-Grip Pull-Up",2013-10-09,501,5,,,,"5 reps","35"
"Parallel-Grip Pull-Up",2013-10-09,502,4,,,,"4 reps","26"
"Parallel-Grip Pull-Up",2013-10-09,503,3,,,,"3 reps","18"
"Parallel-Grip Pull-Up",2013-10-20,1,5,,,,"5 reps","35"
"Parallel-Grip Pull-Up",2013-11-19,3,4,,,,"4 reps","27"
"Parallel-Grip Pull-Up",2013-12-21,10,3,,,,"3 reps","19"
"Parallel-Grip Pull-Up",2013-12-31,21,1,,,,"1 reps","4"
"Parallel-Grip Pull-Up",2013-12-31,22,2,,,,"2 reps","11"
"Parallel-Grip Pull-Up",2013-12-31,23,3,,,,"3 reps","19"
"Parallel-Grip Pull-Up",2014-02-05,12,3,,,,"3 reps","19"
"Parallel-Grip Pull-Up",2014-02-26,10,6,,40,,"6 reps || assisted || 40 kg","7"
"Parallel-Grip Pull-Up",2014-03-15,8,3,,,,"3 reps","18"
