"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Pendlay Row",2012-06-15,501,30,,5,,"30 kg || 5 reps","31"
"Pendlay Row",2012-06-15,502,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-15,503,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-18,501,30,,5,,"30 kg || 5 reps","31"
"Pendlay Row",2012-06-18,502,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-18,503,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-18,504,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-18,505,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-18,506,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-20,401,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-20,402,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-20,403,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-20,404,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-20,405,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-20,406,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-23,401,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-23,402,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-23,403,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-26,401,20,,5,,"20 kg || 5 reps","26"
"Pendlay Row",2012-06-26,402,40,,5,,"40 kg || 5 reps","36"
"Pendlay Row",2012-06-26,403,45,,5,,"45 kg || 5 reps","38"
"Pendlay Row",2012-06-26,404,45,,5,,"45 kg || 5 reps","38"
"Pendlay Row",2012-06-26,405,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-26,406,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-06-26,407,50,,5,,"50 kg || 5 reps","41"
"Pendlay Row",2012-07-13,201,42,,5,,"42 kg || 5 reps","37"
"Pendlay Row",2012-07-13,202,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-07-15,101,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-07-15,102,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-07-15,103,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-07-21,101,42,,5,,"42 kg || 5 reps","37"
"Pendlay Row",2012-07-21,102,42,,5,,"42 kg || 5 reps","37"
"Pendlay Row",2012-07-21,103,42,,5,,"42 kg || 5 reps","37"
"Pendlay Row",2012-07-21,104,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-07-21,105,62,,6,,"62 kg || 6 reps","53"
"Pendlay Row",2012-07-21,106,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-08-06,301,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-08-06,302,67,,5,,"67 kg || 5 reps","54"
"Pendlay Row",2012-08-06,303,67,,5,,"67 kg || 5 reps","54"
"Pendlay Row",2012-08-06,304,67,,5,,"67 kg || 5 reps","54"
"Pendlay Row",2012-08-06,305,32,,10,,"32 kg || 10 reps","37"
"Pendlay Row",2012-08-06,306,32,,10,,"32 kg || 10 reps","37"
"Pendlay Row",2012-08-06,307,42,,10,,"42 kg || 10 reps","43"
"Pendlay Row",2012-08-24,501,29.5,,10,,"29.5 kg || 10 reps","36"
"Pendlay Row",2012-08-24,502,42,,10,,"42 kg || 10 reps","43"
"Pendlay Row",2012-08-24,503,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-08-24,504,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-08-24,505,62,,5,,"62 kg || 5 reps","50"
"Pendlay Row",2012-08-24,506,67,,5,,"67 kg || 5 reps","54"
"Pendlay Row",2012-08-31,201,62,,5,,"62 kg || 5 reps","50"
