"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Power Clean",2012-08-10,301,30,,5,,"30 kg || 5 reps","31"
"Power Clean",2012-08-10,302,40,,5,,"40 kg || 5 reps","36"
"Power Clean",2012-08-10,303,50,,5,,"50 kg || 5 reps","41"
"Power Clean",2012-08-19,401,50,,1,,"50 kg || 1 reps","23"
"Power Clean",2012-08-24,401,29.5,,5,,"29.5 kg || 5 reps","30"
"Power Clean",2012-08-24,402,29.5,,5,,"29.5 kg || 5 reps","30"
"Power Clean",2012-08-24,403,42,,5,,"42 kg || 5 reps","37"
"Power Clean",2012-10-21,301,45,,1,,"45 kg || 1 reps","21"
"Power Clean",2012-11-17,101,40,,3,,"40 kg || 3 reps","29"
"Power Clean",2012-11-17,102,40,,3,,"40 kg || 3 reps","29"
"Power Clean",2012-11-17,103,40,,3,,"40 kg || 3 reps","29"
"Power Clean",2012-11-17,104,40,,3,,"40 kg || 3 reps","29"
"Power Clean",2012-11-17,105,40,,3,,"40 kg || 3 reps","29"
"Power Clean",2012-11-18,701,40,,1,,"40 kg || 1 reps","19"
"Power Clean",2012-12-14,501,10,,3,,"10 kg || 3 reps","18"
"Power Clean",2012-12-14,502,10,,3,,"10 kg || 3 reps","18"
"Power Clean",2012-12-14,503,45,,3,,"45 kg || 3 reps","31"
"Power Clean",2012-12-14,504,45,,3,,"45 kg || 3 reps","31"
"Power Clean",2012-12-14,505,45,,3,,"45 kg || 3 reps","31"
"Power Clean",2012-12-14,506,20,,3,,"20 kg || 3 reps","21"
"Power Clean",2012-12-14,507,20,,3,,"20 kg || 3 reps","21"
"Power Clean",2012-12-14,508,20,,3,,"20 kg || 3 reps","21"
"Power Clean",2012-12-14,509,20,,3,,"20 kg || 3 reps","21"
"Power Clean",2012-12-14,510,20,,3,,"20 kg || 3 reps","21"
"Power Clean",2012-12-14,511,25,,5,,"25 kg || 5 reps","28"
"Power Clean",2012-12-14,512,25,,5,,"25 kg || 5 reps","28"
"Power Clean",2012-12-14,513,25,,5,,"25 kg || 5 reps","28"
"Power Clean",2012-12-14,514,25,,5,,"25 kg || 5 reps","28"
"Power Clean",2012-12-18,401,30,,5,,"30 kg || 5 reps","31"
"Power Clean",2012-12-18,402,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-18,403,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-18,404,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-18,405,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-18,406,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-21,1,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-21,2,30,,3,,"30 kg || 3 reps","25"
"Power Clean",2012-12-21,3,35,,3,,"35 kg || 3 reps","26"
"Power Clean",2012-12-21,4,35,,3,,"35 kg || 3 reps","26"
"Power Clean",2012-12-21,5,35,,3,,"35 kg || 3 reps","26"
"Power Clean",2012-12-21,6,35,,3,,"35 kg || 3 reps","26"
"Power Clean",2013-01-04,1,27.5,,3,,"27.5 kg || 3 reps","24"
"Power Clean",2013-01-04,2,27.5,,3,,"27.5 kg || 3 reps","24"
"Power Clean",2013-01-04,3,27.5,,3,,"27.5 kg || 3 reps","24"
