"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Pull-Up",2012-01-18,1,5,,,,"5 reps","23"
"Pull-Up",2012-03-04,1001,4,,,,"4 reps","17"
"Pull-Up",2012-05-13,1,5,,,,"5 reps","24"
"Pull-Up",2012-05-24,201,4,,,,"4 reps","18"
"Pull-Up",2012-05-24,202,2,,,,"2 reps","7"
"Pull-Up",2012-05-24,203,2,,,,"2 reps","7"
"Pull-Up",2012-06-08,501,10,,40,,"10 reps || weighted || 40 kg","7"
"Pull-Up",2012-07-18,201,1,,,,"1 reps","3"
"Pull-Up",2012-07-18,202,2,,,,"2 reps","7"
"Pull-Up",2012-07-18,203,1,,,,"1 reps","3"
"Pull-Up",2012-07-23,201,4.5,,,,"4.5 reps","23"
"Pull-Up",2012-07-23,202,1,,,,"1 reps","3"
"Pull-Up",2012-07-23,203,2,,,,"2 reps","8"
"Pull-Up",2012-07-25,101,3,,,,"3 reps","13"
"Pull-Up",2012-07-25,102,1,,,,"1 reps","3"
"Pull-Up",2012-07-25,103,1,,,,"1 reps","3"
"Pull-Up",2012-07-25,104,2,,,,"2 reps","8"
"Pull-Up",2012-07-25,105,3,,,,"3 reps","13"
"Pull-Up",2012-07-25,106,2,,,,"2 reps","8"
"Pull-Up",2012-07-25,107,1,,,,"1 reps","3"
"Pull-Up",2012-07-25,108,1,,,,"1 reps","3"
"Pull-Up",2012-07-25,109,2,,,,"2 reps","8"
"Pull-Up",2012-12-14,101,2,,,,"2 reps","26"
"Pull-Up",2013-02-18,1,2,,,,"2 reps","27"
"Pull-Up",2013-02-28,1,2,,,,"2 reps","27"
"Pull-Up",2013-03-04,101,1,,,,"1 reps","16"
"Pull-Up",2013-03-08,301,2,,,,"2 reps","27"
"Pull-Up",2013-03-12,101,1,,,,"1 reps","16"
"Pull-Up",2013-03-16,401,3,,,,"3 reps","36"
"Pull-Up",2013-03-17,601,2,,,,"2 reps","26"
"Pull-Up",2013-03-24,101,3,,,,"3 reps","36"
"Pull-Up",2013-03-25,501,1,,,,"1 reps","16"
"Pull-Up",2013-06-02,401,3,,,,"3 reps","34"
"Pull-Up",2013-06-19,1,2,,,,"2 reps","27"
"Pull-Up",2013-07-03,301,4,,,,"4 reps","47"
"Pull-Up",2013-07-04,1,6,,,,"6 reps","63"
"Pull-Up",2013-07-08,1,6,,,,"6 reps","63"
"Pull-Up",2013-07-08,2,2,,,,"2 reps","28"
"Pull-Up",2013-07-27,501,3,,,,"3 reps","37"
"Pull-Up",2013-08-22,1,5,,,,"5 reps","57"
"Pull-Up",2013-08-22,2,4,,,,"4 reps","48"
"Pull-Up",2013-08-22,3,4,,,,"4 reps","48"
