"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Push Press",2012-11-13,601,10,,6,,"10 kg || 6 reps","24"
"Push Press",2012-11-13,602,15,,6,,"15 kg || 6 reps","26"
"Push Press",2012-11-13,603,20,,6,,"20 kg || 6 reps","28"
"Push Press",2012-11-13,604,25,,6,,"25 kg || 6 reps","30"
"Push Press",2012-11-13,605,30,,6,,"30 kg || 6 reps","33"
"Push Press",2012-11-13,606,30,,6,,"30 kg || 6 reps","33"
"Push Press",2012-11-13,607,30,,6,,"30 kg || 6 reps","33"
"Push Press",2013-02-21,301,35,,5,,"35 kg || 5 reps","33"
"Push Press",2013-02-21,302,37.5,,5,,"37.5 kg || 5 reps","34"
"Push Press",2013-03-05,1001,40,,5,,"40 kg || 5 reps","36"
"Push Press",2013-03-05,1002,40,,5,,"40 kg || 5 reps","36"
"Push Press",2013-04-25,401,30,,12,,"30 kg || 12 reps","37"
"Push Press",2013-04-25,402,30,,12,,"30 kg || 12 reps","37"
"Push Press",2013-04-25,403,30,,12,,"30 kg || 12 reps","37"
"Push Press",2013-05-03,501,30,,8,,"30 kg || 8 reps","35"
"Push Press",2013-05-03,502,40,,12,,"40 kg || 12 reps","43"
"Push Press",2013-05-03,503,40,,12,,"40 kg || 12 reps","43"
"Push Press",2013-07-27,301,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-07-27,302,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-07-27,303,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-07-27,304,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-07-27,305,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-09-17,1101,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-11-11,1,40,,10,,"40 kg || 10 reps","71"
"Push Press",2013-11-11,2,45,,10,,"45 kg || 10 reps","76"
"Push Press",2013-11-11,3,40,,10,,"40 kg || 10 reps","71"
"Push Press",2013-11-15,1,40,,5,,"40 kg || 5 reps","60"
"Push Press",2013-11-15,2,50,,5,,"50 kg || 5 reps","69"
"Push Press",2013-11-15,3,55,,5,,"55 kg || 5 reps","75"
"Push Press",2013-11-15,4,60,,3,,"60 kg || 3 reps","65"
"Push Press",2013-11-18,1,30,,10,,"30 kg || 10 reps","61"
"Push Press",2013-11-18,2,40,,10,,"40 kg || 10 reps","71"
"Push Press",2013-11-18,3,50,,3,,"50 kg || 3 reps","56"
"Push Press",2013-11-24,13,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-11-24,14,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-11-24,15,40,,10,,"40 kg || 10 reps","71"
"Push Press",2013-11-29,14,10,,5,,"10 kg || 5 reps","38"
"Push Press",2013-11-29,15,20,,5,,"20 kg || 5 reps","44"
"Push Press",2013-11-29,16,30,,3,,"30 kg || 3 reps","41"
"Push Press",2013-11-29,17,35,,3,,"35 kg || 3 reps","44"
"Push Press",2013-11-29,18,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-11-29,19,45,,5,,"45 kg || 5 reps","64"
"Push Press",2013-12-01,16,48,,3,,"48 kg || 3 reps","54"
"Push Press",2013-12-01,17,49,,3,,"49 kg || 3 reps","55"
"Push Press",2013-12-01,18,52.5,,3,,"52.5 kg || 3 reps","58"
"Push Press",2013-12-03,1,60,,5,,"60 kg || 5 reps","81"
"Push Press",2013-12-10,21,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,22,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,23,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,24,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,25,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,26,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,27,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,28,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,29,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-10,30,40,,3,,"40 kg || 3 reps","48"
"Push Press",2013-12-21,7,65,,5,,"65 kg || 5 reps","87"
"Push Press",2013-12-21,8,65,,5,,"65 kg || 5 reps","87"
"Push Press",2013-12-21,9,65,,5,,"65 kg || 5 reps","87"
"Push Press",2013-12-31,24,60,,1,,"60 kg || 1 reps","44"
"Push Press",2013-12-31,25,60,,2,,"60 kg || 2 reps","54"
"Push Press",2013-12-31,26,60,,3,,"60 kg || 3 reps","65"
"Push Press",2014-01-23,15,30,,15,,"30 kg || 15 reps","64"
"Push Press",2014-01-23,16,30,,15,,"30 kg || 15 reps","64"
"Push Press",2014-02-05,10,17.5,,5,,"17.5 kg || 5 reps","43"
"Push Press",2014-02-05,11,40,,3,,"40 kg || 3 reps","48"
"Push Press",2014-02-05,12,40,,3,,"40 kg || 3 reps","48"
"Push Press",2014-02-07,3,30,,5,,"30 kg || 5 reps","52"
"Push Press",2014-02-07,4,30,,5,,"30 kg || 5 reps","52"
"Push Press",2014-02-08,16,30,,3,,"30 kg || 3 reps","41"
"Push Press",2014-02-08,17,30,,3,,"30 kg || 3 reps","41"
"Push Press",2014-02-08,18,30,,3,,"30 kg || 3 reps","41"
"Push Press",2014-02-10,4,30,,3,,"30 kg || 3 reps","41"
"Push Press",2014-02-10,5,30,,3,,"30 kg || 3 reps","41"
"Push Press",2014-02-10,6,35,,3,,"35 kg || 3 reps","44"
"Push Press",2014-02-10,26,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,27,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,28,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,29,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,30,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,51,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,52,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,53,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,54,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-10,55,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,11,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,12,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,13,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,14,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,15,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,36,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,37,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,38,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,39,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,40,35,,1,,"35 kg || 1 reps","30"
"Push Press",2014-02-13,57,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-13,58,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-13,59,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,15,40,,10,,"40 kg || 10 reps","71"
"Push Press",2014-02-14,17,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,18,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,19,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,34,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,35,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,36,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-14,37,40,,1,,"40 kg || 1 reps","33"
"Push Press",2014-02-15,31,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,32,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,33,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,34,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,35,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,36,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,37,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,38,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,39,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-15,40,30,,1,,"30 kg || 1 reps","28"
"Push Press",2014-02-18,1,50,,6,,"50 kg || 6 reps","74"
"Push Press",2014-02-18,2,50,,6,,"50 kg || 6 reps","74"
"Push Press",2014-02-18,3,50,,6,,"50 kg || 6 reps","74"
