"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Push-Up",2012-04-13,301,4,,"4 reps","6"
"Push-Up",2012-05-05,101,10,,"10 reps","15"
"Push-Up",2012-05-05,102,10,,"10 reps","15"
"Push-Up",2012-05-10,1,10,,"10 reps","15"
"Push-Up",2012-05-10,2,5,,"5 reps","7"
"Push-Up",2012-05-13,101,5,,"5 reps","7"
"Push-Up",2012-05-13,102,5,,"5 reps","7"
"Push-Up",2012-05-13,103,5,,"5 reps","7"
"Push-Up",2012-05-13,104,5,,"5 reps","7"
"Push-Up",2012-05-13,105,5,,"5 reps","7"
"Push-Up",2012-05-15,801,6,,"6 reps","9"
"Push-Up",2012-05-17,201,10,,"10 reps","15"
"Push-Up",2012-05-21,1,20,,"20 reps","30"
"Push-Up",2012-05-21,2,10,,"10 reps","15"
"Push-Up",2012-05-21,3,5,,"5 reps","7"
"Push-Up",2012-05-30,1,10,,"10 reps","15"
"Push-Up",2012-05-30,2,10,,"10 reps","15"
"Push-Up",2012-05-30,3,10,,"10 reps","15"
"Push-Up",2012-05-30,4,10,,"10 reps","15"
"Push-Up",2012-05-30,5,10,,"10 reps","15"
"Push-Up",2012-06-12,301,10,,"10 reps","15"
"Push-Up",2012-06-12,302,5,,"5 reps","7"
"Push-Up",2012-06-15,101,15,,"15 reps","22"
"Push-Up",2012-07-23,101,15,,"15 reps","22"
"Push-Up",2012-07-23,102,20,,"20 reps","30"
"Push-Up",2012-07-23,103,15,,"15 reps","22"
"Push-Up",2012-07-23,104,15,,"15 reps","22"
"Push-Up",2012-07-23,105,10,,"10 reps","15"
"Push-Up",2012-07-23,106,10,,"10 reps","15"
"Push-Up",2012-07-23,107,15,,"15 reps","22"
"Push-Up",2012-07-25,1,15,,"15 reps","22"
"Push-Up",2012-07-25,2,25,,"25 reps","37"
"Push-Up",2012-07-27,1,27,,"27 reps","40"
"Push-Up",2012-07-27,2,20,,"20 reps","30"
"Push-Up",2012-07-27,3,15,,"15 reps","22"
"Push-Up",2012-07-27,4,15,,"15 reps","22"
"Push-Up",2012-07-27,5,10,,"10 reps","15"
"Push-Up",2012-07-27,6,10,,"10 reps","15"
"Push-Up",2012-07-27,7,20,,"20 reps","30"
"Push-Up",2012-07-27,8,10,,"10 reps","15"
"Push-Up",2012-07-29,1,20,,"20 reps","30"
"Push-Up",2012-07-29,2,22,,"22 reps","33"
"Push-Up",2012-07-29,3,15,,"15 reps","22"
"Push-Up",2012-07-29,4,15,,"15 reps","22"
"Push-Up",2012-07-29,5,15,,"15 reps","22"
"Push-Up",2012-07-29,6,20,,"20 reps","30"
"Push-Up",2012-07-29,7,15,,"15 reps","22"
"Push-Up",2012-07-29,8,15,,"15 reps","22"
"Push-Up",2012-07-29,9,15,,"15 reps","22"
"Push-Up",2012-07-29,10,10,,"10 reps","15"
"Push-Up",2012-07-29,11,10,,"10 reps","15"
"Push-Up",2012-07-29,12,10,,"10 reps","15"
"Push-Up",2012-07-29,13,10,,"10 reps","15"
"Push-Up",2012-07-29,14,15,,"15 reps","22"
"Push-Up",2012-07-29,15,20,,"20 reps","30"
"Push-Up",2012-07-29,16,10,,"10 reps","15"
"Push-Up",2012-07-29,17,9,,"9 reps","13"
"Push-Up",2012-10-25,601,10,,"10 reps","15"
"Push-Up",2012-12-23,201,10,,"10 reps","15"
"Push-Up",2012-12-23,202,10,,"10 reps","15"
"Push-Up",2012-12-23,203,10,,"10 reps","15"
"Push-Up",2012-12-23,204,10,,"10 reps","15"
"Push-Up",2012-12-25,101,15,,"15 reps","22"
"Push-Up",2013-01-08,401,20,,"20 reps","30"
"Push-Up",2014-03-23,31,1,,"1 reps","5"
