"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Rack Deadlift",2012-09-12,801,62,,5,,"62 kg || 5 reps","41"
"Rack Deadlift",2012-09-12,802,62,,5,,"62 kg || 5 reps","41"
"Rack Deadlift",2012-09-12,803,62,,5,,"62 kg || 5 reps","41"
"Rack Deadlift",2012-09-12,804,82,,5,,"82 kg || 5 reps","56"
"Rack Deadlift",2012-09-12,805,92,,5,,"92 kg || 5 reps","65"
"Rack Deadlift",2012-09-12,806,92,,5,,"92 kg || 5 reps","65"
"Rack Deadlift",2012-09-12,807,92,,5,,"92 kg || 5 reps","65"
"Rack Deadlift",2012-09-14,501,62,,5,,"62 kg || 5 reps","41"
"Rack Deadlift",2012-09-14,502,62,,5,,"62 kg || 5 reps","41"
"Rack Deadlift",2012-09-14,503,92,,5,,"92 kg || 5 reps","65"
"Rack Deadlift",2012-09-14,504,112,,5,,"112 kg || 5 reps","87"
"Rack Deadlift",2012-09-14,505,112,,5,,"112 kg || 5 reps","87"
"Rack Deadlift",2012-09-14,506,112,,5,,"112 kg || 5 reps","87"
"Rack Deadlift",2012-09-17,501,112,,5,,"112 kg || 5 reps","87"
"Rack Deadlift",2013-04-12,1,65,,10,,"65 kg || 10 reps","51"
"Rack Deadlift",2013-11-15,1,110,,1,,"110 kg || 1 reps","46"
"Rack Deadlift",2014-02-01,1,40,,10,,"40 kg || 10 reps","35"
"Rack Deadlift",2014-02-01,2,60,,10,,"60 kg || 10 reps","47"
"Rack Deadlift",2014-02-01,3,60,,10,,"60 kg || 10 reps","47"
"Rack Deadlift",2014-02-01,4,90,,5,,"90 kg || 5 reps","63"
"Rack Deadlift",2014-02-01,5,100,,5,,"100 kg || 5 reps","73"
"Rack Deadlift",2014-02-01,6,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-01,7,120,,3,,"120 kg || 3 reps","79"
"Rack Deadlift",2014-02-01,8,130,,3,,"130 kg || 3 reps","92"
"Rack Deadlift",2014-02-01,9,135,,2,,"135 kg || 2 reps","83"
"Rack Deadlift",2014-02-01,10,140,,2,,"140 kg || 2 reps","90"
"Rack Deadlift",2014-02-01,11,140,,2,,"140 kg || 2 reps","90"
"Rack Deadlift",2014-02-01,12,150,,5,,"150 kg || 5 reps","154"
"Rack Deadlift",2014-02-01,13,160,,1,,"160 kg || 1 reps","98"
"Rack Deadlift",2014-02-01,14,175,,1,,"175 kg || 1 reps","122"
"Rack Deadlift",2014-02-08,23,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,24,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,25,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,26,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,27,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,28,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,29,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,30,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,31,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,32,110,,3,,"110 kg || 3 reps","68"
"Rack Deadlift",2014-02-08,33,160,,1,,"160 kg || 1 reps","98"
"Rack Deadlift",2014-02-08,34,170,,1,,"170 kg || 1 reps","113"
