"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Rear Delt Fly",2013-04-07,401,2.5,,10,,"2.5 kg || 10 reps","16"
"Rear Delt Fly",2013-04-07,402,2.5,,10,,"2.5 kg || 10 reps","16"
"Rear Delt Fly",2013-08-14,201,2.5,,8,,"2.5 kg || 8 reps","15"
"Rear Delt Fly",2013-08-14,202,1.5,,8,,"1.5 kg || 8 reps","15"
"Rear Delt Fly",2013-08-14,203,2,,8,,"2 kg || 8 reps","15"
"Rear Delt Fly",2013-08-14,204,2,,12,,"2 kg || 12 reps","16"
"Rear Delt Fly",2013-08-14,205,2,,12,,"2 kg || 12 reps","16"
"Rear Delt Fly",2013-08-15,501,2,,10,,"2 kg || 10 reps","16"
"Rear Delt Fly",2013-08-15,502,2,,10,,"2 kg || 10 reps","16"
"Rear Delt Fly",2013-08-15,503,2,,10,,"2 kg || 10 reps","16"
"Rear Delt Fly",2013-08-15,504,2,,10,,"2 kg || 10 reps","16"
"Rear Delt Fly",2013-08-19,101,4.5,,10,,"4.5 kg || 10 reps","16"
"Rear Delt Fly",2013-08-19,102,4.5,,10,,"4.5 kg || 10 reps","16"
"Rear Delt Fly",2013-08-19,103,4.5,,10,,"4.5 kg || 10 reps","16"
"Rear Delt Fly",2013-08-19,104,4.5,,10,,"4.5 kg || 10 reps","16"
"Rear Delt Fly",2013-08-26,401,4,,10,,"4 kg || 10 reps","16"
"Rear Delt Fly",2013-08-26,402,5,,10,,"5 kg || 10 reps","16"
"Rear Delt Fly",2013-09-29,601,4.5,,8,,"4.5 kg || 8 reps","16"
"Rear Delt Fly",2013-09-29,602,4.5,,8,,"4.5 kg || 8 reps","16"
"Rear Delt Fly",2013-10-05,801,4.5,,8,,"4.5 kg || 8 reps","16"
"Rear Delt Fly",2013-10-05,802,4.5,,8,,"4.5 kg || 8 reps","16"
"Rear Delt Fly",2013-10-22,21,5.5,,10,,"5.5 kg || 10 reps","17"
"Rear Delt Fly",2014-03-23,30,4.5,,6,,"4.5 kg || 6 reps","15"
