"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Reverse Barbell Curl",2012-08-26,101,20,,5,,"20 kg || 5 reps","13"
"Reverse Barbell Curl",2012-09-21,101,22,,8,,"22 kg || 8 reps","15"
"Reverse Barbell Curl",2012-10-31,601,21,,8,,"21 kg || 8 reps","15"
"Reverse Barbell Curl",2012-10-31,602,21,,8,,"21 kg || 8 reps","15"
"Reverse Barbell Curl",2012-11-02,201,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-02,202,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-04,201,10.5,,15,,"10.5 kg || 15 reps","14"
"Reverse Barbell Curl",2012-11-04,202,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-04,203,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-04,204,22,,5,,"22 kg || 5 reps","13"
"Reverse Barbell Curl",2012-11-06,901,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-06,902,18,,10,,"18 kg || 10 reps","15"
"Reverse Barbell Curl",2012-11-06,903,18,,6,,"18 kg || 6 reps","13"
"Reverse Barbell Curl",2012-11-09,501,13,,10,,"13 kg || 10 reps","14"
"Reverse Barbell Curl",2012-11-09,502,13,,10,,"13 kg || 10 reps","14"
