"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Reverse Crunch",2013-01-04,401,15,,"15 reps","19"
"Reverse Crunch",2013-01-04,402,15,,"15 reps","19"
"Reverse Crunch",2013-01-04,403,15,,"15 reps","19"
"Reverse Crunch",2013-01-11,301,10,,"10 reps","13"
"Reverse Crunch",2013-01-11,302,10,,"10 reps","13"
"Reverse Crunch",2013-04-27,701,12,,"12 reps","15"
"Reverse Crunch",2013-04-27,702,12,,"12 reps","15"
"Reverse Crunch",2013-04-30,101,12,,"12 reps","15"
"Reverse Crunch",2013-04-30,102,12,,"12 reps","15"
"Reverse Crunch",2013-05-05,201,5,,"5 reps","6"
"Reverse Crunch",2013-06-25,701,15,,"15 reps","19"
"Reverse Crunch",2013-06-25,702,15,,"15 reps","19"
"Reverse Crunch",2013-06-28,601,15,,"15 reps","19"
"Reverse Crunch",2013-06-28,602,15,,"15 reps","19"
"Reverse Crunch",2013-07-09,501,15,,"15 reps","19"
"Reverse Crunch",2013-07-09,502,15,,"15 reps","19"
"Reverse Crunch",2014-02-21,14,15,,"15 reps","19"
"Reverse Crunch",2014-02-21,15,15,,"15 reps","19"
"Reverse Crunch",2014-03-13,5,10,,"10 reps","13"
"Reverse Crunch",2014-03-13,6,10,,"10 reps","13"
"Reverse Crunch",2014-03-13,7,10,,"10 reps","13"
"Reverse Crunch",2014-03-13,8,10,,"10 reps","13"
