"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Romanian Deadlift",2012-06-23,501,40,,5,,"40 kg || 5 reps","38"
"Romanian Deadlift",2012-06-23,502,45,,5,,"45 kg || 5 reps","40"
"Romanian Deadlift",2012-06-23,503,45,,5,,"45 kg || 5 reps","40"
"Romanian Deadlift",2012-06-23,504,45,,5,,"45 kg || 5 reps","40"
"Romanian Deadlift",2012-06-29,301,35,,5,,"35 kg || 5 reps","35"
"Romanian Deadlift",2012-06-29,302,40,,5,,"40 kg || 5 reps","38"
"Romanian Deadlift",2012-06-29,303,50,,5,,"50 kg || 5 reps","44"
"Romanian Deadlift",2012-06-29,304,60,,5,,"60 kg || 5 reps","51"
"Romanian Deadlift",2012-06-29,305,65,,5,,"65 kg || 5 reps","55"
"Romanian Deadlift",2012-06-29,306,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-06-29,307,80,,5,,"80 kg || 5 reps","68"
"Romanian Deadlift",2012-06-29,308,80,,5,,"80 kg || 5 reps","68"
"Romanian Deadlift",2012-06-29,309,80,,4,,"80 kg || 4 reps","62"
"Romanian Deadlift",2012-07-19,501,42.5,,5,,"42.5 kg || 5 reps","39"
"Romanian Deadlift",2012-07-19,502,50,,5,,"50 kg || 5 reps","44"
"Romanian Deadlift",2012-07-19,503,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-07-19,504,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-07-19,505,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-08-07,501,42,,5,,"42 kg || 5 reps","39"
"Romanian Deadlift",2012-08-11,701,42.5,,5,,"42.5 kg || 5 reps","39"
"Romanian Deadlift",2012-08-11,702,42.5,,5,,"42.5 kg || 5 reps","39"
"Romanian Deadlift",2012-08-11,703,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-08-11,704,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-08-11,705,70,,5,,"70 kg || 5 reps","59"
"Romanian Deadlift",2012-08-26,201,20,,20,,"20 kg || 20 reps","37"
"Romanian Deadlift",2012-08-31,1,32,,10,,"32 kg || 10 reps","39"
"Romanian Deadlift",2012-08-31,2,32,,15,,"32 kg || 15 reps","42"
"Romanian Deadlift",2012-11-13,1,10,,6,,"10 kg || 6 reps","25"
"Romanian Deadlift",2012-11-13,2,15,,6,,"15 kg || 6 reps","27"
"Romanian Deadlift",2012-11-13,3,20,,6,,"20 kg || 6 reps","30"
"Romanian Deadlift",2012-11-13,4,25,,6,,"25 kg || 6 reps","32"
"Romanian Deadlift",2012-11-13,5,30,,6,,"30 kg || 6 reps","34"
"Romanian Deadlift",2012-11-13,6,30,,6,,"30 kg || 6 reps","34"
"Romanian Deadlift",2012-11-13,7,30,,6,,"30 kg || 6 reps","34"
"Romanian Deadlift",2013-03-26,1,40,,11,,"40 kg || 11 reps","45"
"Romanian Deadlift",2013-04-26,401,30,,12,,"30 kg || 12 reps","39"
"Romanian Deadlift",2013-04-26,402,40,,12,,"40 kg || 12 reps","45"
"Romanian Deadlift",2013-05-08,501,30,,12,,"30 kg || 12 reps","39"
