"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Seated Cable Row",2012-01-29,201,25,,10,,"25 kg || 10 reps","15"
"Seated Cable Row",2012-01-29,202,30,,10,,"30 kg || 10 reps","18"
"Seated Cable Row",2012-01-29,203,30,,10,,"30 kg || 10 reps","18"
"Seated Cable Row",2012-02-28,301,30,,8,,"30 kg || 8 reps","25"
"Seated Cable Row",2012-02-28,302,30,,8,,"30 kg || 8 reps","25"
"Seated Cable Row",2012-02-28,303,30,,8,,"30 kg || 8 reps","25"
"Seated Cable Row",2012-06-20,901,45,,5,,"45 kg || 5 reps","27"
"Seated Cable Row",2013-02-03,401,40,,10,,"40 kg || 10 reps","30"
"Seated Cable Row",2013-02-03,402,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-03-25,401,27.5,,10,,"27.5 kg || 10 reps","25"
"Seated Cable Row",2013-03-28,401,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-03-28,402,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-03-28,403,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-03-28,404,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-03-28,405,30,,10,,"30 kg || 10 reps","26"
"Seated Cable Row",2013-04-04,201,40,,10,,"40 kg || 10 reps","30"
"Seated Cable Row",2013-04-04,202,40,,10,,"40 kg || 10 reps","30"
"Seated Cable Row",2013-04-07,101,45,,10,,"45 kg || 10 reps","32"
"Seated Cable Row",2013-04-07,102,45,,10,,"45 kg || 10 reps","32"
"Seated Cable Row",2013-04-07,103,45,,10,,"45 kg || 10 reps","32"
"Seated Cable Row",2013-04-25,301,45,,10,,"45 kg || 10 reps","32"
"Seated Cable Row",2013-04-25,302,45,,12,,"45 kg || 12 reps","33"
"Seated Cable Row",2013-04-25,303,45,,12,,"45 kg || 12 reps","33"
"Seated Cable Row",2013-05-03,401,30,,12,,"30 kg || 12 reps","27"
"Seated Cable Row",2013-05-03,402,35,,12,,"35 kg || 12 reps","29"
"Seated Cable Row",2013-05-03,403,35,,12,,"35 kg || 12 reps","29"
"Seated Cable Row",2013-07-11,201,44,,12,,"44 kg || 12 reps","33"
"Seated Cable Row",2013-07-11,202,40,,12,,"40 kg || 12 reps","31"
