"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Seated Dumbbell Shoulder Press",2012-01-10,501,12,,8,,"12 kg || 8 reps","14"
"Seated Dumbbell Shoulder Press",2012-01-10,502,12,,8,,"12 kg || 8 reps","14"
"Seated Dumbbell Shoulder Press",2012-01-10,503,12,,8,,"12 kg || 8 reps","14"
"Seated Dumbbell Shoulder Press",2012-01-19,201,14,,8,,"14 kg || 8 reps","16"
"Seated Dumbbell Shoulder Press",2012-01-19,202,14,,5,,"14 kg || 5 reps","15"
"Seated Dumbbell Shoulder Press",2012-01-19,203,14,,3,,"14 kg || 3 reps","14"
"Seated Dumbbell Shoulder Press",2012-01-27,201,12,,10,,"12 kg || 10 reps","14"
"Seated Dumbbell Shoulder Press",2012-01-27,202,12,,5,,"12 kg || 5 reps","12"
"Seated Dumbbell Shoulder Press",2012-01-27,203,12,,7,,"12 kg || 7 reps","13"
"Seated Dumbbell Shoulder Press",2012-08-11,1101,18,,5,,"18 kg || 5 reps","45"
"Seated Dumbbell Shoulder Press",2012-08-11,1102,20,,5,,"20 kg || 5 reps","48"
"Seated Dumbbell Shoulder Press",2012-08-11,1103,22,,3,,"22 kg || 3 reps","41"
"Seated Dumbbell Shoulder Press",2013-01-06,1,12,,5,,"12 kg || 5 reps","38"
"Seated Dumbbell Shoulder Press",2014-02-28,34,12.5,,10,,"12.5 kg || 10 reps","47"
"Seated Dumbbell Shoulder Press",2014-02-28,35,12.5,,10,,"12.5 kg || 10 reps","47"
"Seated Dumbbell Shoulder Press",2014-02-28,36,12.5,,10,,"12.5 kg || 10 reps","47"
