"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Seated Hammer Dumbbell Curl",2013-04-22,501,12.5,,6,,"12.5 kg || 6 reps","15"
"Seated Hammer Dumbbell Curl",2013-04-22,502,12.5,,6,,"12.5 kg || 6 reps","15"
"Seated Hammer Dumbbell Curl",2013-04-22,503,12.5,,6,,"12.5 kg || 6 reps","15"
"Seated Hammer Dumbbell Curl",2013-04-27,201,12,,5,,"12 kg || 5 reps","14"
"Seated Hammer Dumbbell Curl",2013-04-27,202,7,,15,,"7 kg || 15 reps","16"
"Seated Hammer Dumbbell Curl",2013-04-30,1001,7,,15,,"7 kg || 15 reps","16"
"Seated Hammer Dumbbell Curl",2013-04-30,1002,7,,12,,"7 kg || 12 reps","16"
"Seated Hammer Dumbbell Curl",2014-02-26,27,7,,10,,"7 kg || 10 reps","15"
"Seated Hammer Dumbbell Curl",2014-02-26,28,7,,10,,"7 kg || 10 reps","15"
"Seated Hammer Dumbbell Curl",2014-02-26,29,7,,10,,"7 kg || 10 reps","15"
