"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Snatch-Grip Deadlift",2013-11-15,1,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-11-15,2,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-11-18,1,44,,10,,"44 kg || 10 reps","60"
"Snatch-Grip Deadlift",2013-11-18,2,44,,10,,"44 kg || 10 reps","60"
"Snatch-Grip Deadlift",2013-11-24,1,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-11-24,2,70,,5,,"70 kg || 5 reps","75"
"Snatch-Grip Deadlift",2013-11-24,3,80,,5,,"80 kg || 5 reps","87"
"Snatch-Grip Deadlift",2013-12-01,4,45,,5,,"45 kg || 5 reps","51"
"Snatch-Grip Deadlift",2013-12-01,5,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-12-01,6,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-12-06,1,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2013-12-06,2,110,,3,,"110 kg || 3 reps","109"
"Snatch-Grip Deadlift",2013-12-12,1,90,,3,,"90 kg || 3 reps","81"
"Snatch-Grip Deadlift",2013-12-12,2,90,,3,,"90 kg || 3 reps","81"
"Snatch-Grip Deadlift",2013-12-12,3,90,,3,,"90 kg || 3 reps","81"
"Snatch-Grip Deadlift",2013-12-13,11,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,12,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,13,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,14,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,15,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,16,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,17,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,18,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,19,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2013-12-13,20,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2014-01-04,13,90,,6,,"90 kg || 6 reps","107"
"Snatch-Grip Deadlift",2014-01-04,14,90,,6,,"90 kg || 6 reps","107"
"Snatch-Grip Deadlift",2014-01-04,15,90,,6,,"90 kg || 6 reps","107"
"Snatch-Grip Deadlift",2014-01-18,16,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2014-01-18,17,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2014-01-18,18,60,,5,,"60 kg || 5 reps","64"
"Snatch-Grip Deadlift",2014-01-29,1,60,,10,,"60 kg || 10 reps","76"
"Snatch-Grip Deadlift",2014-01-29,2,60,,10,,"60 kg || 10 reps","76"
"Snatch-Grip Deadlift",2014-01-29,3,90,,5,,"90 kg || 5 reps","101"
"Snatch-Grip Deadlift",2014-03-23,14,110,,3,,"110 kg || 3 reps","109"
"Snatch-Grip Deadlift",2014-03-25,41,110,,1,,"110 kg || 1 reps","74"
