"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Calf Raise",2013-04-12,501,25,,,,"25 reps","7"
"Standing Calf Raise",2013-04-23,401,15,,40,,"15 reps || weighted || 40 kg","7"
"Standing Calf Raise",2013-05-09,1,40,,,,"40 reps","13"
"Standing Calf Raise",2013-05-10,601,25,,,,"25 reps","7"
"Standing Calf Raise",2013-06-16,101,100,,,,"100 reps","36"
"Standing Calf Raise",2013-06-17,901,50,,,,"50 reps","16"
"Standing Calf Raise",2013-06-17,902,50,,10,,"50 reps || weighted || 10 kg","19"
"Standing Calf Raise",2013-06-18,901,30,,40,,"30 reps || weighted || 40 kg","15"
"Standing Calf Raise",2013-06-18,902,20,,40,,"20 reps || weighted || 40 kg","9"
"Standing Calf Raise",2013-06-18,903,20,,40,,"20 reps || weighted || 40 kg","9"
"Standing Calf Raise",2013-06-18,904,30,,40,,"30 reps || weighted || 40 kg","15"
"Standing Calf Raise",2013-06-19,901,25,,50,,"25 reps || weighted || 50 kg","13"
"Standing Calf Raise",2013-06-19,902,25,,50,,"25 reps || weighted || 50 kg","13"
"Standing Calf Raise",2013-06-21,701,30,,30,,"30 reps || weighted || 30 kg","13"
"Standing Calf Raise",2013-06-21,702,20,,30,,"20 reps || weighted || 30 kg","8"
"Standing Calf Raise",2013-06-22,601,50,,30,,"50 reps || weighted || 30 kg","24"
"Standing Calf Raise",2013-07-13,901,40,,,,"40 reps","13"
"Standing Calf Raise",2013-07-13,902,20,,,,"20 reps","6"
"Standing Calf Raise",2013-07-13,903,20,,,,"20 reps","6"
"Standing Calf Raise",2013-07-13,904,20,,,,"20 reps","6"
"Standing Calf Raise",2013-09-14,1301,60,,,,"60 reps","20"
"Standing Calf Raise",2013-09-14,1302,40,,,,"40 reps","13"
"Standing Calf Raise",2013-09-15,101,40,,,,"40 reps","13"
"Standing Calf Raise",2013-09-15,102,40,,,,"40 reps","13"
"Standing Calf Raise",2013-09-15,103,20,,,,"20 reps","6"
"Standing Calf Raise",2013-09-17,1,50,,,,"50 reps","17"
"Standing Calf Raise",2013-09-17,2,50,,,,"50 reps","17"
"Standing Calf Raise",2013-09-18,1,100,,,,"100 reps","36"
"Standing Calf Raise",2014-02-21,8,25,,,,"25 reps","8"
"Standing Calf Raise",2014-02-21,9,25,,,,"25 reps","8"
"Standing Calf Raise",2014-02-21,10,25,,,,"25 reps","8"
"Standing Calf Raise",2014-02-21,11,25,,,,"25 reps","8"
"Standing Calf Raise",2014-02-21,12,25,,,,"25 reps","8"
"Standing Calf Raise",2014-02-21,13,25,,,,"25 reps","8"
"Standing Calf Raise",2014-03-03,6,25,,,,"25 reps","8"
