"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Dumbbell Calf Raise",2012-10-25,301,16,,25,,"16 kg || 25 reps","23"
"Standing Dumbbell Calf Raise",2012-10-25,302,16,,25,,"16 kg || 25 reps","23"
"Standing Dumbbell Calf Raise",2012-10-25,303,16,,25,,"16 kg || 25 reps","23"
"Standing Dumbbell Calf Raise",2012-10-31,401,16,,25,,"16 kg || 25 reps","23"
"Standing Dumbbell Calf Raise",2012-10-31,402,16,,25,,"16 kg || 25 reps","23"
"Standing Dumbbell Calf Raise",2012-10-31,403,16,,15,,"16 kg || 15 reps","21"
"Standing Dumbbell Calf Raise",2012-10-31,404,16,,15,,"16 kg || 15 reps","21"
"Standing Dumbbell Calf Raise",2012-10-31,405,16,,20,,"16 kg || 20 reps","22"
"Standing Dumbbell Calf Raise",2012-12-12,301,20,,5,,"20 kg || 5 reps","17"
"Standing Dumbbell Calf Raise",2013-03-11,601,22.5,,20,,"22.5 kg || 20 reps","24"
