"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Dumbbell Shoulder Press",2012-03-02,301,12,,8,,"12 kg || 8 reps","23"
"Standing Dumbbell Shoulder Press",2012-03-02,302,12,,4,,"12 kg || 4 reps","16"
"Standing Dumbbell Shoulder Press",2012-03-06,1,14,,8,,"14 kg || 8 reps","24"
"Standing Dumbbell Shoulder Press",2012-03-06,2,14,,6,,"14 kg || 6 reps","22"
"Standing Dumbbell Shoulder Press",2012-03-06,3,14,,3,,"14 kg || 3 reps","13"
"Standing Dumbbell Shoulder Press",2012-04-05,1,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-05,2,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-05,3,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-05,4,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-05,5,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-07,201,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-07,202,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-07,203,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-07,204,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-07,205,12.5,,5,,"12.5 kg || 5 reps","29"
"Standing Dumbbell Shoulder Press",2012-04-11,101,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-11,102,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-11,103,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-11,104,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-11,105,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-13,1,15,,10,,"15 kg || 10 reps","40"
"Standing Dumbbell Shoulder Press",2012-04-13,2,15,,10,,"15 kg || 10 reps","40"
"Standing Dumbbell Shoulder Press",2012-04-13,3,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-21,201,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-21,202,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-21,203,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-21,204,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-21,205,15,,5,,"15 kg || 5 reps","31"
"Standing Dumbbell Shoulder Press",2012-04-24,1,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-24,2,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-24,3,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-24,4,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-24,5,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-27,201,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-27,202,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-27,203,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-27,204,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-04-27,205,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-05,201,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-05,202,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-05,203,20,,5,,"20 kg || 5 reps","36"
"Standing Dumbbell Shoulder Press",2012-05-13,401,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-13,402,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-13,403,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-13,404,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-13,405,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-15,1001,17.5,,5,,"17.5 kg || 5 reps","33"
"Standing Dumbbell Shoulder Press",2012-05-15,1002,20,,5,,"20 kg || 5 reps","36"
"Standing Dumbbell Shoulder Press",2012-05-15,1003,20,,5,,"20 kg || 5 reps","36"
"Standing Dumbbell Shoulder Press",2012-08-11,1001,16,,5,,"16 kg || 5 reps","58"
"Standing Dumbbell Shoulder Press",2012-08-29,201,17.5,,5,,"17.5 kg || 5 reps","61"
"Standing Dumbbell Shoulder Press",2012-08-29,202,17.5,,5,,"17.5 kg || 5 reps","61"
"Standing Dumbbell Shoulder Press",2012-08-29,203,21.5,,5,,"21.5 kg || 5 reps","69"
"Standing Dumbbell Shoulder Press",2013-03-05,801,17.5,,5,,"17.5 kg || 5 reps","61"
"Standing Dumbbell Shoulder Press",2013-03-05,802,17.5,,5,,"17.5 kg || 5 reps","61"
"Standing Dumbbell Shoulder Press",2013-05-22,101,10,,10,,"10 kg || 10 reps","47"
"Standing Dumbbell Shoulder Press",2013-05-22,102,10,,10,,"10 kg || 10 reps","47"
