"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-02-20,15,7,,8,,"7 kg || 8 reps","16"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-02-20,16,4.5,,8,,"4.5 kg || 8 reps","16"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-02-28,37,7,,6,,"7 kg || 6 reps","15"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-02-28,38,7,,6,,"7 kg || 6 reps","15"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-02-28,39,7,,6,,"7 kg || 6 reps","15"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-03,8,7,,8,,"7 kg || 8 reps","16"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-17,10,4.5,,10,,"4.5 kg || 10 reps","16"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-17,11,6,,10,,"6 kg || 10 reps","17"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-17,12,6,,10,,"6 kg || 10 reps","17"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-23,16,6,,6,,"6 kg || 6 reps","15"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-23,17,6,,6,,"6 kg || 6 reps","15"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head",2014-03-23,18,6,,8,,"6 kg || 8 reps","16"
