"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Dumbbell Upright Row",2012-04-05,301,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-05,302,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-07,501,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-07,502,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-07,503,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-07,504,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2012-04-07,505,12.5,,5,,"12.5 kg || 5 reps","24"
"Standing Dumbbell Upright Row",2014-02-20,4,7,,15,,"7 kg || 15 reps","27"
"Standing Dumbbell Upright Row",2014-02-20,5,7,,15,,"7 kg || 15 reps","27"
"Standing Dumbbell Upright Row",2014-02-20,6,12.5,,8,,"12.5 kg || 8 reps","27"
