"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Front Barbell Raise Over Head",2013-08-13,501,10,,12,,"10 kg || 12 reps","14"
"Standing Front Barbell Raise Over Head",2013-08-13,502,10,,12,,"10 kg || 12 reps","14"
"Standing Front Barbell Raise Over Head",2013-08-13,503,10,,12,,"10 kg || 12 reps","14"
"Standing Front Barbell Raise Over Head",2013-08-13,504,10,,12,,"10 kg || 12 reps","14"
"Standing Front Barbell Raise Over Head",2013-08-19,401,10,,10,,"10 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-08-19,402,10,,10,,"10 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-08-19,403,10,,10,,"10 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-08-19,404,10,,10,,"10 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-09-19,1001,11,,10,,"11 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-09-19,1002,11,,10,,"11 kg || 10 reps","13"
"Standing Front Barbell Raise Over Head",2013-12-16,1,10,,10,,"10 kg || 10 reps","13"
