"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Military Press",2012-06-01,801,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2012-06-01,802,40,,3,,"40 kg || 3 reps","33"
"Standing Military Press",2012-06-01,803,40,,2,,"40 kg || 2 reps","28"
"Standing Military Press",2012-06-03,301,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2012-06-03,302,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2012-06-03,303,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2012-06-03,304,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2012-06-03,305,30,,5,,"30 kg || 5 reps","36"
"Standing Military Press",2013-06-03,201,20,,20,,"20 kg || 20 reps","70"
"Standing Military Press",2013-06-03,202,20,,20,,"20 kg || 20 reps","70"
"Standing Military Press",2013-06-03,203,20,,15,,"20 kg || 15 reps","67"
"Standing Military Press",2013-06-05,301,27.5,,10,,"27.5 kg || 10 reps","70"
"Standing Military Press",2013-06-05,302,27.5,,10,,"27.5 kg || 10 reps","70"
"Standing Military Press",2013-06-05,303,27.5,,10,,"27.5 kg || 10 reps","70"
"Standing Military Press",2013-06-05,304,27.5,,10,,"27.5 kg || 10 reps","70"
"Standing Military Press",2013-06-05,305,27.5,,10,,"27.5 kg || 10 reps","70"
"Standing Military Press",2013-11-06,7,30,,10,,"30 kg || 10 reps","73"
"Standing Military Press",2013-11-06,8,30,,10,,"30 kg || 10 reps","73"
"Standing Military Press",2013-11-11,1,40,,10,,"40 kg || 10 reps","85"
"Standing Military Press",2013-11-11,2,40,,10,,"40 kg || 10 reps","85"
"Standing Military Press",2013-11-11,3,40,,10,,"40 kg || 10 reps","85"
"Standing Military Press",2013-11-24,26,30,,3,,"30 kg || 3 reps","50"
"Standing Military Press",2013-11-24,27,50,,3,,"50 kg || 3 reps","67"
"Standing Military Press",2013-11-24,28,50,,3,,"50 kg || 3 reps","67"
