"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,101,12.5,,5,,"12.5 kg || 5 reps","64"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,102,17.5,,5,,"17.5 kg || 5 reps","74"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,103,17.5,,5,,"17.5 kg || 5 reps","74"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,104,19,,5,,"19 kg || 5 reps","78"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,105,17.5,,5,,"17.5 kg || 5 reps","74"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-29,106,21.5,,3,,"21.5 kg || 3 reps","55"
"Standing One-Arm Dumbbell Shoulder Press",2012-08-31,401,15,,10,,"15 kg || 10 reps","89"
"Standing One-Arm Dumbbell Shoulder Press",2013-01-16,701,17.5,,5,,"17.5 kg || 5 reps","41"
"Standing One-Arm Dumbbell Shoulder Press",2013-02-09,601,17.5,,5,,"17.5 kg || 5 reps","41"
"Standing One-Arm Dumbbell Shoulder Press",2013-06-01,401,17,,10,,"17 kg || 10 reps","52"
"Standing One-Arm Dumbbell Shoulder Press",2013-06-01,402,17,,10,,"17 kg || 10 reps","52"
"Standing One-Arm Dumbbell Shoulder Press",2013-06-01,403,14.5,,12,,"14.5 kg || 12 reps","50"
"Standing One-Arm Dumbbell Shoulder Press",2013-09-09,701,13.5,,3,,"13.5 kg || 3 reps","24"
"Standing One-Arm Dumbbell Shoulder Press",2013-09-09,702,20,,2,,"20 kg || 2 reps","19"
"Standing One-Arm Dumbbell Shoulder Press",2013-09-09,703,21,,3,,"21 kg || 3 reps","30"
"Standing One-Arm Dumbbell Shoulder Press",2013-09-24,501,9.5,,8,,"9.5 kg || 8 reps","39"
"Standing One-Arm Dumbbell Shoulder Press",2013-09-24,502,9.5,,8,,"9.5 kg || 8 reps","39"
"Standing One-Arm Dumbbell Shoulder Press",2013-10-09,601,17.5,,10,,"17.5 kg || 10 reps","53"
"Standing One-Arm Dumbbell Shoulder Press",2013-10-09,602,17.5,,10,,"17.5 kg || 10 reps","53"
"Standing One-Arm Dumbbell Shoulder Press",2014-03-03,10,19,,8,,"19 kg || 8 reps","52"
"Standing One-Arm Dumbbell Shoulder Press",2014-03-12,8,19,,6,,"19 kg || 6 reps","47"
"Standing One-Arm Dumbbell Shoulder Press",2014-03-29,23,22.5,,5,,"22.5 kg || 5 reps","47"
"Standing One-Arm Dumbbell Shoulder Press",2014-03-29,24,22.5,,3,,"22.5 kg || 3 reps","31"
