"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing One-Arm Dumbbell Triceps Extension",2012-01-27,301,6,,8,,"6 kg || 8 reps","5"
"Standing One-Arm Dumbbell Triceps Extension",2012-01-27,302,4,,10,,"4 kg || 10 reps","5"
"Standing One-Arm Dumbbell Triceps Extension",2012-01-27,303,4,,10,,"4 kg || 10 reps","5"
"Standing One-Arm Dumbbell Triceps Extension",2012-09-30,701,6,,8,,"6 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-09-30,702,8,,8,,"8 kg || 8 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-09-30,703,10,,7,,"10 kg || 7 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-11,301,7.5,,8,,"7.5 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-11,302,7.5,,8,,"7.5 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-11,303,7.5,,8,,"7.5 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-20,301,8.5,,10,,"8.5 kg || 10 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-20,302,8.5,,3,,"8.5 kg || 3 reps","12"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-24,301,6,,10,,"6 kg || 10 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-24,302,6,,10,,"6 kg || 10 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-24,303,6,,10,,"6 kg || 10 reps","17"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-25,301,7.5,,8,,"7.5 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-25,302,7.5,,8,,"7.5 kg || 8 reps","16"
"Standing One-Arm Dumbbell Triceps Extension",2012-10-31,201,7.5,,8,,"7.5 kg || 8 reps","16"
