"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Stiff Leg Barbell Good Morning",2012-06-20,601,10,,10,,"10 kg || 10 reps","18"
"Stiff Leg Barbell Good Morning",2012-06-20,602,15,,10,,"15 kg || 10 reps","19"
"Stiff Leg Barbell Good Morning",2012-06-20,603,25,,10,,"25 kg || 10 reps","22"
"Stiff Leg Barbell Good Morning",2012-06-23,301,0.5,,10,,"0.5 kg || 10 reps","15"
"Stiff Leg Barbell Good Morning",2012-06-23,601,20,,10,,"20 kg || 10 reps","21"
"Stiff Leg Barbell Good Morning",2012-06-23,602,25,,10,,"25 kg || 10 reps","22"
"Stiff Leg Barbell Good Morning",2012-06-23,603,30,,10,,"30 kg || 10 reps","24"
"Stiff Leg Barbell Good Morning",2012-06-26,101,10,,10,,"10 kg || 10 reps","18"
"Stiff Leg Barbell Good Morning",2012-06-26,102,30,,10,,"30 kg || 10 reps","24"
"Stiff Leg Barbell Good Morning",2012-06-26,103,30,,10,,"30 kg || 10 reps","24"
"Stiff Leg Barbell Good Morning",2012-06-29,101,10,,5,,"10 kg || 5 reps","15"
"Stiff Leg Barbell Good Morning",2012-06-29,102,30,,5,,"30 kg || 5 reps","20"
"Stiff Leg Barbell Good Morning",2012-06-29,103,35,,5,,"35 kg || 5 reps","22"
"Stiff Leg Barbell Good Morning",2012-06-29,104,35,,5,,"35 kg || 5 reps","22"
"Stiff Leg Barbell Good Morning",2012-06-29,105,35,,5,,"35 kg || 5 reps","22"
"Stiff Leg Barbell Good Morning",2012-07-19,201,10,,5,,"10 kg || 5 reps","15"
"Stiff Leg Barbell Good Morning",2012-07-19,202,30,,5,,"30 kg || 5 reps","20"
"Stiff Leg Barbell Good Morning",2012-07-19,203,30,,5,,"30 kg || 5 reps","20"
"Stiff Leg Barbell Good Morning",2012-07-19,204,30,,5,,"30 kg || 5 reps","20"
"Stiff Leg Barbell Good Morning",2012-07-27,201,10,,10,,"10 kg || 10 reps","18"
"Stiff Leg Barbell Good Morning",2012-07-27,202,30,,5,,"30 kg || 5 reps","20"
"Stiff Leg Barbell Good Morning",2012-07-27,203,40,,5,,"40 kg || 5 reps","24"
"Stiff Leg Barbell Good Morning",2012-07-27,204,40,,5,,"40 kg || 5 reps","24"
"Stiff Leg Barbell Good Morning",2012-07-27,205,40,,5,,"40 kg || 5 reps","24"
"Stiff Leg Barbell Good Morning",2012-11-13,1501,10,,6,,"10 kg || 6 reps","16"
"Stiff Leg Barbell Good Morning",2012-11-13,1502,15,,6,,"15 kg || 6 reps","17"
"Stiff Leg Barbell Good Morning",2012-11-13,1503,20,,6,,"20 kg || 6 reps","19"
"Stiff Leg Barbell Good Morning",2012-11-13,1504,25,,6,,"25 kg || 6 reps","20"
"Stiff Leg Barbell Good Morning",2012-11-13,1505,30,,6,,"30 kg || 6 reps","22"
"Stiff Leg Barbell Good Morning",2013-01-04,501,21,,10,,"21 kg || 10 reps","21"
"Stiff Leg Barbell Good Morning",2013-01-04,502,21,,10,,"21 kg || 10 reps","21"
"Stiff Leg Barbell Good Morning",2013-01-04,503,21,,10,,"21 kg || 10 reps","21"
"Stiff Leg Barbell Good Morning",2013-09-09,1201,15,,3,,"15 kg || 3 reps","13"
"Stiff Leg Barbell Good Morning",2013-09-09,1202,17.5,,3,,"17.5 kg || 3 reps","13"
"Stiff Leg Barbell Good Morning",2013-09-09,1203,21.5,,3,,"21.5 kg || 3 reps","14"
"Stiff Leg Barbell Good Morning",2013-09-12,701,30,,3,,"30 kg || 3 reps","16"
"Stiff Leg Barbell Good Morning",2013-09-12,702,30,,3,,"30 kg || 3 reps","16"
"Stiff Leg Barbell Good Morning",2013-09-12,703,20,,3,,"20 kg || 3 reps","14"
"Stiff Leg Barbell Good Morning",2013-09-12,704,20,,3,,"20 kg || 3 reps","14"
"Stiff Leg Barbell Good Morning",2013-09-12,705,20,,3,,"20 kg || 3 reps","14"
"Stiff Leg Barbell Good Morning",2013-09-14,1201,42.5,,5,,"42.5 kg || 5 reps","25"
"Stiff Leg Barbell Good Morning",2013-09-14,1202,42.5,,5,,"42.5 kg || 5 reps","25"
"Stiff Leg Barbell Good Morning",2014-01-29,1,40,,3,,"40 kg || 3 reps","19"
"Stiff Leg Barbell Good Morning",2014-02-26,4,40,,3,,"40 kg || 3 reps","19"
"Stiff Leg Barbell Good Morning",2014-03-23,1,10,,20,,"10 kg || 20 reps","20"
