"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Straight Arm Pulldown",2013-08-13,601,10,,12,,"10 kg || 12 reps","14"
"Straight Arm Pulldown",2013-08-13,602,14,,12,,"14 kg || 12 reps","14"
"Straight Arm Pulldown",2013-08-13,603,14,,12,,"14 kg || 12 reps","14"
"Straight Arm Pulldown",2013-08-13,604,14,,12,,"14 kg || 12 reps","14"
"Straight Arm Pulldown",2013-09-11,1401,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-14,301,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-14,302,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-17,301,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-17,302,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-19,1101,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-19,1102,10,,10,,"10 kg || 10 reps","13"
"Straight Arm Pulldown",2013-09-29,301,15,,8,,"15 kg || 8 reps","14"
"Straight Arm Pulldown",2013-09-29,302,15,,8,,"15 kg || 8 reps","14"
"Straight Arm Pulldown",2013-09-29,303,15,,8,,"15 kg || 8 reps","14"
"Straight Arm Pulldown",2013-09-29,304,15,,8,,"15 kg || 8 reps","14"
"Straight Arm Pulldown",2013-10-05,1001,14,,8,,"14 kg || 8 reps","13"
"Straight Arm Pulldown",2013-10-05,1002,18,,8,,"18 kg || 8 reps","14"
"Straight Arm Pulldown",2014-01-12,11,20,,5,,"20 kg || 5 reps","13"
"Straight Arm Pulldown",2014-01-12,12,20,,5,,"20 kg || 5 reps","13"
"Straight Arm Pulldown",2014-01-23,13,15,,15,,"15 kg || 15 reps","15"
"Straight Arm Pulldown",2014-01-23,14,12.5,,15,,"12.5 kg || 15 reps","15"
