"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Sumo Deadlift",2012-06-06,401,50,,5,,"50 kg || 5 reps","39"
"Sumo Deadlift",2012-06-06,402,70,,5,,"70 kg || 5 reps","52"
"Sumo Deadlift",2012-08-07,401,42,,5,,"42 kg || 5 reps","49"
"Sumo Deadlift",2012-08-07,402,102,,1,,"102 kg || 1 reps","66"
"Sumo Deadlift",2013-03-09,101,110,,2,,"110 kg || 2 reps","92"
"Sumo Deadlift",2013-03-09,102,130,,1,,"130 kg || 1 reps","100"
"Sumo Deadlift",2013-04-19,301,60,,10,,"60 kg || 10 reps","76"
"Sumo Deadlift",2013-04-19,302,110,,5,,"110 kg || 5 reps","136"
"Sumo Deadlift",2013-12-06,3,60,,5,,"60 kg || 5 reps","64"
"Sumo Deadlift",2013-12-06,4,110,,3,,"110 kg || 3 reps","109"
"Sumo Deadlift",2013-12-06,5,130,,3,,"130 kg || 3 reps","147"
"Sumo Deadlift",2014-01-29,1,90,,3,,"90 kg || 3 reps","81"
"Sumo Deadlift",2014-01-29,2,90,,3,,"90 kg || 3 reps","81"
"Sumo Deadlift",2014-01-29,3,90,,3,,"90 kg || 3 reps","81"
"Sumo Deadlift",2014-03-13,7,110,,3,,"110 kg || 3 reps","109"
"Sumo Deadlift",2014-03-13,8,140,,2,,"140 kg || 2 reps","144"
"Sumo Deadlift",2014-03-13,9,160,,1,,"160 kg || 1 reps","156"
