"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"T-Bar Row",2012-08-26,601,30,,5,,"30 kg || 5 reps","23"
"T-Bar Row",2012-08-26,602,50,,5,,"50 kg || 5 reps","31"
"T-Bar Row",2012-08-26,603,60,,5,,"60 kg || 5 reps","36"
"T-Bar Row",2012-08-26,604,60,,5,,"60 kg || 5 reps","36"
"T-Bar Row",2012-08-29,1001,20,,10,,"20 kg || 10 reps","23"
"T-Bar Row",2012-08-29,1002,40,,5,,"40 kg || 5 reps","27"
"T-Bar Row",2012-09-03,301,20,,5,,"20 kg || 5 reps","20"
"T-Bar Row",2012-09-03,302,40,,5,,"40 kg || 5 reps","27"
"T-Bar Row",2012-09-03,303,50,,5,,"50 kg || 5 reps","31"
"T-Bar Row",2013-01-13,301,20,,10,,"20 kg || 10 reps","23"
"T-Bar Row",2013-01-13,302,40,,5,,"40 kg || 5 reps","27"
"T-Bar Row",2013-01-13,303,50,,5,,"50 kg || 5 reps","31"
"T-Bar Row",2013-01-13,304,60,,5,,"60 kg || 5 reps","36"
"T-Bar Row",2013-01-13,305,60,,5,,"60 kg || 5 reps","36"
