"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Triceps Pushdown - Rope Attachment",2013-02-03,601,10,,15,,"10 kg || 15 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-05,401,10,,10,,"10 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-05,402,12.5,,10,,"12.5 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-05,403,12.5,,10,,"12.5 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-09,201,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-09,202,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-11,601,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-11,602,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-13,901,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-13,902,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-13,903,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-15,201,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-15,202,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-15,203,12.5,,12,,"12.5 kg || 12 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-17,501,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-19,701,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-19,702,13.5,,15,,"13.5 kg || 15 reps","10"
"Triceps Pushdown - Rope Attachment",2013-02-21,601,14,,10,,"14 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-21,602,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-21,603,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-25,501,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-25,502,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-25,503,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-27,801,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-02-27,802,15,,7,,"15 kg || 7 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-01,701,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-01,702,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-05,201,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-05,202,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-05,203,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-11,701,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-03-16,701,17.5,,10,,"17.5 kg || 10 reps","10"
"Triceps Pushdown - Rope Attachment",2013-03-28,501,20,,5,,"20 kg || 5 reps","8"
"Triceps Pushdown - Rope Attachment",2013-03-28,502,10,,20,,"10 kg || 20 reps","10"
"Triceps Pushdown - Rope Attachment",2013-04-22,601,15,,12,,"15 kg || 12 reps","10"
"Triceps Pushdown - Rope Attachment",2013-04-22,602,15,,12,,"15 kg || 12 reps","10"
"Triceps Pushdown - Rope Attachment",2013-04-22,603,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-05-12,1201,10,,15,,"10 kg || 15 reps","9"
"Triceps Pushdown - Rope Attachment",2013-05-12,1202,10,,15,,"10 kg || 15 reps","9"
"Triceps Pushdown - Rope Attachment",2013-05-12,1203,10,,15,,"10 kg || 15 reps","9"
"Triceps Pushdown - Rope Attachment",2013-07-03,601,12.5,,10,,"12.5 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-07-09,601,14,,10,,"14 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-07-09,602,14,,10,,"14 kg || 10 reps","9"
"Triceps Pushdown - Rope Attachment",2013-07-13,801,15,,12,,"15 kg || 12 reps","10"
"Triceps Pushdown - Rope Attachment",2013-07-13,802,15,,8,,"15 kg || 8 reps","9"
"Triceps Pushdown - Rope Attachment",2013-11-22,24,20,,8,,"20 kg || 8 reps","10"
"Triceps Pushdown - Rope Attachment",2013-11-22,25,20,,8,,"20 kg || 8 reps","10"
