"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Triceps Pushdown",2012-01-10,701,15,,8,,"15 kg || 8 reps","5"
"Triceps Pushdown",2012-01-10,702,15,,8,,"15 kg || 8 reps","5"
"Triceps Pushdown",2012-01-19,401,15,,8,,"15 kg || 8 reps","5"
"Triceps Pushdown",2012-01-19,402,15,,8,,"15 kg || 8 reps","5"
"Triceps Pushdown",2012-01-19,403,15,,8,,"15 kg || 8 reps","5"
"Triceps Pushdown",2012-10-21,501,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2012-10-21,502,25,,10,,"25 kg || 10 reps","11"
"Triceps Pushdown",2012-10-21,503,30,,5,,"30 kg || 5 reps","10"
"Triceps Pushdown",2013-01-13,601,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown",2013-01-13,602,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-03-11,801,15,,10,,"15 kg || 10 reps","9"
"Triceps Pushdown",2013-03-11,802,17.5,,10,,"17.5 kg || 10 reps","10"
"Triceps Pushdown",2013-03-26,501,27.5,,3,,"27.5 kg || 3 reps","8"
"Triceps Pushdown",2013-05-22,601,15,,15,,"15 kg || 15 reps","10"
"Triceps Pushdown",2013-05-22,602,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-05-22,603,25,,3,,"25 kg || 3 reps","7"
"Triceps Pushdown",2013-05-25,801,17.5,,15,,"17.5 kg || 15 reps","10"
"Triceps Pushdown",2013-05-25,802,25,,5,,"25 kg || 5 reps","9"
"Triceps Pushdown",2013-09-27,601,14,,8,,"14 kg || 8 reps","9"
"Triceps Pushdown",2013-09-27,602,16,,8,,"16 kg || 8 reps","9"
"Triceps Pushdown",2013-09-27,603,18,,8,,"18 kg || 8 reps","9"
"Triceps Pushdown",2013-09-27,604,20,,8,,"20 kg || 8 reps","10"
"Triceps Pushdown",2013-10-02,401,19,,8,,"19 kg || 8 reps","10"
"Triceps Pushdown",2013-10-02,402,21.5,,8,,"21.5 kg || 8 reps","10"
"Triceps Pushdown",2013-10-02,403,22.5,,8,,"22.5 kg || 8 reps","10"
"Triceps Pushdown",2013-10-02,404,22.5,,8,,"22.5 kg || 8 reps","10"
"Triceps Pushdown",2013-10-05,1101,14,,8,,"14 kg || 8 reps","9"
"Triceps Pushdown",2013-10-05,1102,18,,8,,"18 kg || 8 reps","9"
"Triceps Pushdown",2013-10-07,801,18,,20,,"18 kg || 20 reps","11"
"Triceps Pushdown",2013-10-09,901,20,,12,,"20 kg || 12 reps","10"
"Triceps Pushdown",2013-10-09,902,24,,8,,"24 kg || 8 reps","10"
"Triceps Pushdown",2013-10-15,201,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-10-15,202,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-10-15,203,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-10-20,2,30,,5,,"30 kg || 5 reps","10"
"Triceps Pushdown",2013-10-22,18,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-10-22,19,20,,10,,"20 kg || 10 reps","10"
"Triceps Pushdown",2013-10-27,3,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2013-10-27,4,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2013-11-06,11,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2013-11-08,15,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2013-11-08,16,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2013-12-21,14,20,,12,,"20 kg || 12 reps","10"
"Triceps Pushdown",2013-12-27,1,15,,10,,"15 lb || 10 reps","8"
"Triceps Pushdown",2013-12-27,2,30,,15,,"30 lb || 15 reps","10"
"Triceps Pushdown",2013-12-27,3,55,,15,,"55 lb || 15 reps","12"
"Triceps Pushdown",2013-12-27,4,75,,3,,"75 lb || 3 reps","8"
"Triceps Pushdown",2014-01-12,4,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2014-01-12,5,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2014-01-12,6,20,,15,,"20 kg || 15 reps","11"
"Triceps Pushdown",2014-01-23,7,15,,15,,"15 kg || 15 reps","10"
"Triceps Pushdown",2014-01-23,8,12.5,,15,,"12.5 kg || 15 reps","10"
"Triceps Pushdown",2014-02-04,10,15,,15,,"15 kg || 15 reps","10"
"Triceps Pushdown",2014-02-04,11,15,,15,,"15 kg || 15 reps","10"
"Triceps Pushdown",2014-02-26,2,10,,10,,"10 kg || 10 reps","9"
"Triceps Pushdown",2014-02-26,13,10,,15,,"10 kg || 15 reps","9"
"Triceps Pushdown",2014-02-26,14,15,,15,,"15 kg || 15 reps","10"
"Triceps Pushdown",2014-02-26,15,17.5,,15,,"17.5 kg || 15 reps","10"
