"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Two-Arm Kettlebell Swing",2012-05-10,301,8,,10,,"8 kg || 10 reps","26"
"Two-Arm Kettlebell Swing",2012-05-10,302,8,,10,,"8 kg || 10 reps","26"
"Two-Arm Kettlebell Swing",2012-05-10,303,8,,10,,"8 kg || 10 reps","26"
"Two-Arm Kettlebell Swing",2012-05-21,401,8,,15,,"8 kg || 15 reps","28"
"Two-Arm Kettlebell Swing",2012-05-21,402,20,,5,,"20 kg || 5 reps","26"
"Two-Arm Kettlebell Swing",2012-05-21,403,20,,10,,"20 kg || 10 reps","31"
"Two-Arm Kettlebell Swing",2012-05-21,404,20,,15,,"20 kg || 15 reps","33"
"Two-Arm Kettlebell Swing",2012-05-21,405,8,,25,,"8 kg || 25 reps","31"
"Two-Arm Kettlebell Swing",2012-06-08,701,20,,15,,"20 kg || 15 reps","33"
"Two-Arm Kettlebell Swing",2012-06-08,702,20,,10,,"20 kg || 10 reps","31"
"Two-Arm Kettlebell Swing",2012-06-08,703,20,,5,,"20 kg || 5 reps","26"
"Two-Arm Kettlebell Swing",2012-07-21,401,8,,5,,"8 kg || 5 reps","22"
"Two-Arm Kettlebell Swing",2012-07-21,402,20,,15,,"20 kg || 15 reps","33"
"Two-Arm Kettlebell Swing",2012-08-02,201,8,,30,,"8 kg || 30 reps","42"
"Two-Arm Kettlebell Swing",2012-08-02,202,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2012-08-06,1,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2012-08-06,2,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2012-08-07,201,20,,30,,"20 kg || 30 reps","50"
"Two-Arm Kettlebell Swing",2012-08-07,202,20,,25,,"20 kg || 25 reps","47"
"Two-Arm Kettlebell Swing",2012-08-07,203,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2012-08-07,204,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2012-08-13,1,20,,15,,"20 kg || 15 reps","39"
"Two-Arm Kettlebell Swing",2012-08-13,2,20,,15,,"20 kg || 15 reps","39"
"Two-Arm Kettlebell Swing",2012-08-13,3,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-13,4,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-13,5,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-24,101,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-24,102,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-24,103,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-24,104,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-24,105,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-08-29,501,20,,5,,"20 kg || 5 reps","28"
"Two-Arm Kettlebell Swing",2012-08-29,502,20,,5,,"20 kg || 5 reps","28"
"Two-Arm Kettlebell Swing",2012-09-14,1,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-09-14,2,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-09-14,3,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2012-11-11,1001,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-01-17,501,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2013-02-25,1,30,,10,,"30 kg || 10 reps","41"
"Two-Arm Kettlebell Swing",2013-02-25,2,40,,5,,"40 kg || 5 reps","38"
"Two-Arm Kettlebell Swing",2013-02-25,3,40,,4,,"40 kg || 4 reps","35"
"Two-Arm Kettlebell Swing",2013-03-01,801,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2013-03-01,802,32.5,,10,,"32.5 kg || 10 reps","42"
"Two-Arm Kettlebell Swing",2013-03-05,1,12,,30,,"12 kg || 30 reps","45"
"Two-Arm Kettlebell Swing",2013-03-26,301,32.5,,25,,"32.5 kg || 25 reps","56"
"Two-Arm Kettlebell Swing",2013-03-29,201,20,,15,,"20 kg || 15 reps","39"
"Two-Arm Kettlebell Swing",2013-03-29,202,20,,15,,"20 kg || 15 reps","39"
"Two-Arm Kettlebell Swing",2013-04-26,601,16,,20,,"16 kg || 20 reps","40"
"Two-Arm Kettlebell Swing",2013-04-26,602,16,,15,,"16 kg || 15 reps","37"
"Two-Arm Kettlebell Swing",2013-05-05,301,16,,10,,"16 kg || 10 reps","33"
"Two-Arm Kettlebell Swing",2013-06-22,501,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-06-22,502,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-06-22,503,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-07-13,201,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-07-13,202,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-07-13,203,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-07-13,204,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-07-13,205,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-07-16,101,42.5,,5,,"42.5 kg || 5 reps","40"
"Two-Arm Kettlebell Swing",2013-07-16,102,42.5,,5,,"42.5 kg || 5 reps","40"
"Two-Arm Kettlebell Swing",2013-07-16,103,42.5,,5,,"42.5 kg || 5 reps","40"
"Two-Arm Kettlebell Swing",2013-07-21,1,20,,40,,"20 kg || 40 reps","58"
"Two-Arm Kettlebell Swing",2013-07-21,2,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2013-07-21,3,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2013-07-29,501,20,,20,,"20 kg || 20 reps","43"
"Two-Arm Kettlebell Swing",2013-08-12,1,10,,100,,"10 kg || 100 reps","89"
"Two-Arm Kettlebell Swing",2013-08-14,601,20,,12,,"20 kg || 12 reps","37"
"Two-Arm Kettlebell Swing",2013-08-14,602,20,,11,,"20 kg || 11 reps","36"
"Two-Arm Kettlebell Swing",2013-08-14,603,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-08-14,604,20,,11,,"20 kg || 11 reps","36"
"Two-Arm Kettlebell Swing",2013-08-14,605,20,,11,,"20 kg || 11 reps","36"
"Two-Arm Kettlebell Swing",2013-08-14,606,20,,11,,"20 kg || 11 reps","36"
"Two-Arm Kettlebell Swing",2013-08-14,607,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,608,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,609,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,610,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,611,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,612,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,613,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-08-14,614,12,,12,,"12 kg || 12 reps","33"
"Two-Arm Kettlebell Swing",2013-09-11,701,10,,10,,"10 kg || 10 reps","30"
"Two-Arm Kettlebell Swing",2013-11-09,1,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-11-09,2,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2013-11-09,3,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2014-03-13,1,20,,10,,"20 kg || 10 reps","35"
"Two-Arm Kettlebell Swing",2014-03-13,2,20,,15,,"20 kg || 15 reps","39"
"Two-Arm Kettlebell Swing",2014-03-13,3,20,,25,,"20 kg || 25 reps","47"
"Two-Arm Kettlebell Swing",2014-03-13,4,20,,50,,"20 kg || 50 reps","65"
