"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"V-Bar Pulldown",2013-05-29,101,27.5,,10,,"27.5 kg || 10 reps","23"
"V-Bar Pulldown",2013-05-29,102,35,,10,,"35 kg || 10 reps","26"
"V-Bar Pulldown",2013-05-29,103,35,,10,,"35 kg || 10 reps","26"
"V-Bar Pulldown",2013-05-29,104,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,105,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,106,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,107,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,108,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,109,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,110,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-05-29,111,47.5,,5,,"47.5 kg || 5 reps","26"
"V-Bar Pulldown",2013-09-27,301,40,,8,,"40 kg || 8 reps","27"
"V-Bar Pulldown",2013-09-27,302,40,,8,,"40 kg || 8 reps","27"
"V-Bar Pulldown",2013-11-11,1,35,,10,,"35 kg || 10 reps","26"
"V-Bar Pulldown",2013-11-11,2,40,,10,,"40 kg || 10 reps","28"
"V-Bar Pulldown",2013-11-11,3,45,,10,,"45 kg || 10 reps","30"
"V-Bar Pulldown",2014-02-28,28,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-02-28,29,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-02-28,30,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-02-28,31,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-02-28,32,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-02-28,33,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-03-03,9,40,,8,,"40 kg || 8 reps","27"
"V-Bar Pulldown",2014-03-15,10,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-03-15,11,45,,6,,"45 kg || 6 reps","27"
"V-Bar Pulldown",2014-03-15,12,45,,10,,"45 kg || 10 reps","30"
"V-Bar Pulldown",2014-03-23,4,40,,6,,"40 kg || 6 reps","25"
"V-Bar Pulldown",2014-03-23,5,45,,6,,"45 kg || 6 reps","27"
"V-Bar Pulldown",2014-03-23,6,50,,8,,"50 kg || 8 reps","31"
