"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Weighted Hyperextension",2012-09-26,301,10,,8,,"10 kg || 8 reps","8"
"Weighted Hyperextension",2012-09-26,302,10,,8,,"10 kg || 8 reps","8"
"Weighted Hyperextension",2012-10-03,301,10,,8,,"10 kg || 8 reps","8"
"Weighted Hyperextension",2012-10-03,302,20,,8,,"20 kg || 8 reps","10"
"Weighted Hyperextension",2013-06-19,401,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-06-19,402,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-06-19,403,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-06-22,201,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-06-22,202,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-06-22,203,10,,10,,"10 kg || 10 reps","9"
"Weighted Hyperextension",2013-07-13,301,5,,12,,"5 kg || 12 reps","8"
"Weighted Hyperextension",2013-07-13,302,5,,12,,"5 kg || 12 reps","8"
"Weighted Hyperextension",2013-07-13,303,5,,12,,"5 kg || 12 reps","8"
"Weighted Hyperextension",2013-07-29,301,5,,10,,"5 kg || 10 reps","8"
"Weighted Hyperextension",2013-07-29,302,5,,10,,"5 kg || 10 reps","8"
"Weighted Hyperextension",2013-07-29,303,5,,10,,"5 kg || 10 reps","8"
