"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Wide-Grip Lat Pulldown",2012-01-18,201,35,,8,,"35 kg || 8 reps","19"
"Wide-Grip Lat Pulldown",2012-01-18,202,45,,8,,"45 kg || 8 reps","25"
"Wide-Grip Lat Pulldown",2012-01-18,203,45,,8,,"45 kg || 8 reps","25"
"Wide-Grip Lat Pulldown",2012-01-29,101,47.5,,10,,"47.5 kg || 10 reps","27"
"Wide-Grip Lat Pulldown",2012-01-29,102,50,,10,,"50 kg || 10 reps","29"
"Wide-Grip Lat Pulldown",2012-01-29,103,52.5,,10,,"52.5 kg || 10 reps","30"
"Wide-Grip Lat Pulldown",2012-03-04,501,35,,8,,"35 kg || 8 reps","25"
"Wide-Grip Lat Pulldown",2012-03-04,502,40,,8,,"40 kg || 8 reps","27"
"Wide-Grip Lat Pulldown",2012-03-04,503,40,,8,,"40 kg || 8 reps","27"
"Wide-Grip Lat Pulldown",2013-03-25,101,17.5,,10,,"17.5 kg || 10 reps","20"
"Wide-Grip Lat Pulldown",2013-03-25,102,27.5,,10,,"27.5 kg || 10 reps","23"
"Wide-Grip Lat Pulldown",2013-05-31,1,25,,10,,"25 kg || 10 reps","22"
"Wide-Grip Lat Pulldown",2013-05-31,2,35,,10,,"35 kg || 10 reps","26"
"Wide-Grip Lat Pulldown",2013-05-31,3,35,,10,,"35 kg || 10 reps","26"
"Wide-Grip Lat Pulldown",2013-05-31,4,35,,10,,"35 kg || 10 reps","26"
"Wide-Grip Lat Pulldown",2013-05-31,5,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-05-31,6,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-07-19,101,10,,10,,"10 kg || 10 reps","18"
"Wide-Grip Lat Pulldown",2013-07-19,102,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-07-19,103,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,1,50,,5,,"50 kg || 5 reps","27"
"Wide-Grip Lat Pulldown",2013-10-15,2,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,3,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,4,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,5,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,6,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-15,7,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-22,1,30,,10,,"30 kg || 10 reps","24"
"Wide-Grip Lat Pulldown",2013-10-22,2,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-22,3,45,,10,,"45 kg || 10 reps","30"
"Wide-Grip Lat Pulldown",2013-10-22,4,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-10-22,5,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-11-08,7,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-11-08,8,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-11-08,9,40,,10,,"40 kg || 10 reps","28"
"Wide-Grip Lat Pulldown",2013-12-27,5,105,,10,,"105 lb || 10 reps","31"
"Wide-Grip Lat Pulldown",2013-12-27,6,105,,10,,"105 lb || 10 reps","31"
"Wide-Grip Lat Pulldown",2014-02-28,1,25,,10,,"25 kg || 10 reps","22"
"Wide-Grip Lat Pulldown",2014-02-28,2,35,,6,,"35 kg || 6 reps","23"
"Wide-Grip Lat Pulldown",2014-02-28,3,37.5,,6,,"37.5 kg || 6 reps","24"
"Wide-Grip Lat Pulldown",2014-02-28,4,40,,6,,"40 kg || 6 reps","25"
"Wide-Grip Lat Pulldown",2014-02-28,5,40,,6,,"40 kg || 6 reps","25"
"Wide-Grip Lat Pulldown",2014-02-28,6,40,,6,,"40 kg || 6 reps","25"
"Wide-Grip Lat Pulldown",2014-02-28,7,40,,6,,"40 kg || 6 reps","25"
