"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Wide-Grip Pull-Up",2012-03-04,201,2,,,,"2 reps","8"
"Wide-Grip Pull-Up",2013-06-19,101,2,,,,"2 reps","27"
"Wide-Grip Pull-Up",2013-06-22,801,1,,,,"1 reps","16"
"Wide-Grip Pull-Up",2013-07-06,201,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-07-15,801,3,,,,"3 reps","37"
"Wide-Grip Pull-Up",2013-07-22,501,2,,,,"2 reps","27"
"Wide-Grip Pull-Up",2013-07-25,601,2,,,,"2 reps","27"
"Wide-Grip Pull-Up",2013-07-27,401,3,,,,"3 reps","38"
"Wide-Grip Pull-Up",2013-09-15,1,3,,,,"3 reps","38"
"Wide-Grip Pull-Up",2013-09-19,1301,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-09-19,1302,2,,,,"2 reps","28"
"Wide-Grip Pull-Up",2013-09-19,1303,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-09-19,1304,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-09-29,101,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-09-29,102,2,,,,"2 reps","28"
"Wide-Grip Pull-Up",2013-09-29,103,3,,,,"3 reps","38"
"Wide-Grip Pull-Up",2013-09-29,104,4,,,,"4 reps","48"
"Wide-Grip Pull-Up",2013-10-05,701,1,,,,"1 reps","17"
"Wide-Grip Pull-Up",2013-10-05,702,2,,,,"2 reps","28"
"Wide-Grip Pull-Up",2013-11-06,1,10,,40,,"10 reps || assisted || 40 kg","16"
"Wide-Grip Pull-Up",2013-11-06,2,2,,,,"2 reps","29"
"Wide-Grip Pull-Up",2013-11-11,1,10,,40,,"10 reps || assisted || 40 kg","16"
"Wide-Grip Pull-Up",2013-11-11,2,10,,40,,"10 reps || assisted || 40 kg","16"
"Wide-Grip Pull-Up",2013-11-11,3,10,,40,,"10 reps || assisted || 40 kg","16"
"Wide-Grip Pull-Up",2013-11-17,1,4,,,,"4 reps","50"
"Wide-Grip Pull-Up",2013-12-05,1,10,,40,,"10 reps || assisted || 40 kg","16"
"Wide-Grip Pull-Up",2013-12-05,2,6,,20,,"6 reps || assisted || 20 kg","31"
"Wide-Grip Pull-Up",2013-12-05,3,3,,,,"3 reps","40"
"Wide-Grip Pull-Up",2014-01-02,16,5,,40,,"5 reps || assisted || 40 kg","9"
"Wide-Grip Pull-Up",2014-01-02,17,3,,20,,"3 reps || assisted || 20 kg","18"
"Wide-Grip Pull-Up",2014-01-02,18,3,,20,,"3 reps || assisted || 20 kg","18"
"Wide-Grip Pull-Up",2014-03-15,9,1,,,,"1 reps","17"
