"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Yates Row",2013-06-06,301,30,,10,,"30 kg || 10 reps","24"
"Yates Row",2013-06-06,302,30,,10,,"30 kg || 10 reps","24"
"Yates Row",2013-07-25,101,28,,10,,"28 kg || 10 reps","23"
"Yates Row",2013-07-27,1001,35.5,,10,,"35.5 kg || 10 reps","26"
"Yates Row",2013-07-27,1002,40,,10,,"40 kg || 10 reps","28"
"Yates Row",2013-07-27,1003,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-07-27,1004,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-07-27,1005,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-07-30,401,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-07-30,402,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-07-30,403,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-08-09,101,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-08-09,102,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-08-09,103,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-08-09,104,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-08-09,105,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-08-09,106,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-09-17,1301,40,,3,,"40 kg || 3 reps","19"
"Yates Row",2013-09-27,1,68,,4,,"68 kg || 4 reps","33"
"Yates Row",2013-09-27,2,68,,6,,"68 kg || 6 reps","38"
"Yates Row",2013-09-27,3,63,,8,,"63 kg || 8 reps","38"
"Yates Row",2013-09-27,4,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2013-09-27,5,58,,12,,"58 kg || 12 reps","38"
"Yates Row",2013-09-27,6,58,,8,,"58 kg || 8 reps","35"
"Yates Row",2013-10-05,501,60,,3,,"60 kg || 3 reps","26"
"Yates Row",2013-10-05,502,58,,8,,"58 kg || 8 reps","35"
"Yates Row",2013-10-05,503,73,,1,,"73 kg || 1 reps","21"
"Yates Row",2013-10-05,504,68,,2,,"68 kg || 2 reps","24"
"Yates Row",2013-10-05,505,68,,3,,"68 kg || 3 reps","29"
"Yates Row",2013-10-05,506,63,,4,,"63 kg || 4 reps","31"
"Yates Row",2013-10-05,507,58,,6,,"58 kg || 6 reps","33"
"Yates Row",2013-10-05,508,58,,8,,"58 kg || 8 reps","35"
"Yates Row",2013-10-05,509,58,,10,,"58 kg || 10 reps","37"
"Yates Row",2014-01-18,4,60,,8,,"60 kg || 8 reps","36"
"Yates Row",2014-01-18,5,60,,8,,"60 kg || 8 reps","36"
"Yates Row",2014-01-18,6,60,,8,,"60 kg || 8 reps","36"
"Yates Row",2014-03-15,13,60,,6,,"60 kg || 6 reps","34"
