EXERCISE,RENAMED
Rope Push Down,Cable Rope Triceps Pushdown
Triceps Pushdown - Rope Attachment,Cable Rope Triceps Pushdown
Rope Triceps Pushdown,Cable Rope Triceps Pushdown
Leg Press,Machine Leg Press 
Lat Pulldown,Cable Lat Pulldown
Alternating Hammer Curl,Dumbbell Alternating Hammer Curl
Ball Slams,Medicine Ball Slams
Behind the Neck Push Press,Barbell Behind The Neck Push Press
Kneeling Rope Pushdown,Kneeling Cable Rope Pushdown
Standing Barbell Shoulder Press (OHP),Barbell Overhead Press
Overhead Rope Triceps Extension,Cable Rope Overhead Triceps Extension
One-Arm Rope Triceps Pushdown,One-Arm Cable Rope Triceps Pushdown
Distanced One-Arm Rope Triceps Pushdown,One-Arm Cable Rope Triceps Pushdown
Zercher Squat,Barbell Zercher Squat
Yates Row,Barbell Yates Row
Wide-Grip Pulldown Behind The Neck,Wide-Grip Cable Behind The Neck Lat Pulldown 
Wide-Grip Lat Pulldown,Wide-Grip Cable Lat Pulldown
Weighted Hyperextension,Back Extension
Wall Ball,Medicine Ball Wall Throws
V-Bar Pulldown,Cable V-Bar Lat Pulldown
Triceps Pushdown,Cable Rope Triceps Pushdown
Tricep Dumbbell Kickback,Dumbbell Triceps Kickback
Thrusters,Barbell Thruster
Sumo Deadlift,Barbell Sumo Deadlift
Straight Arm Pulldown,Cable Straight Arm Pulldown
Stiff Leg Barbell Good Morning,Barbell Good Morning
Standing One-Arm Dumbbell Shoulder Press,Standing One-Arm Dumbbell Overhead Press
Standing Military Press,Barbell Overhead Press
Snatch-Grip Deadlift,Snatch-Grip Barbell Deadlift
Snatch Grip Behind the Neck Press,Snatch-Grip Barbell Behind The Neck Press
Klokov Press,Snatch-Grip Barbell Behind The Neck Press
Side Lateral Raise,Dumbbell Lateral Raise
Shoulder Dislocation,Pipe Shoulder Dislocation
Seated Good Morning,Seated Barbell Good Morning
Seated Dumbbell Shoulder Press,Seated Dumbbell Overhead Press
Seated Calf Raise,Seated Machine Calf Raise
Seated Bent-Over Rear Delt Raise,Seated Dumbbell Bent-Over Rear Delt Raise
Reverse Barbell Preacher Curls,Barbell Reverse Preacher Curl
Rear Delt Fly,Dumbbell Bent-Over Rear Delt Raise
Ab Wheel (kneeling),Kneeling Ab Wheel Rollout
Front Plate Raise,Plate Front Raise
Hang Clean,Barbell Hang Clean
Hang High Pull,Barbell Hang High Pull
Hang Power Clean,Barbell Hang Power Clean
High Pull,Barbell High Pull
Hyperextension,Back Extension
Incline Dumbbell Flyes,Incline Dumbbell Fly
Internal Shoulder Cuff Rotation (Lucky Cat),Dumbbell Internal Rotation
Isolateral Plate Loaded Press,Isolateral Machine Overhead Press
Jerk,Barbell Jerk
Jump Squat (Toyotas),Jump Squat
Kroc Rows,Dumbbell Kroc Rows
Leg Extensions,Machine Leg Extension
Long Cycle,Kettlebell Long Cycle
Lying Leg Curls,Machine Lying Leg Curl
Lying Rear Delt Raise,Lying Dumbbell Rear Delt Raise
Machine Chest Fly (Pec Deck),Machine Fly
Machine Preacher Curls,Machine Preacher Curl
Machine Shoulder (Military) Press,Machine Overhead Press
Middle Back Shrug,Dumbbell Middle Back Shrug
Muscle Clean,Barbell Muscle Clean
Muscle Snatch,Barbell Muscle Snatch
One-Leg Press,Machine One-Leg Press
Pendlay Row,Barbell Pendlay Row
Power Clean and Jerk,Barbell Power Clean And Jerk
Power Clean,Barbell Power Clean
Preacher Curl,EZ Bar Preacher Curl
Push Press,Barbell Push Press
Rack Deadlift,Barbell Rack Deadlift
Rocking Standing Calf Raise,Standing Calf Raise
Romanian Deadlift,Barbell Romanian Deadlift
Rear Delt Fly,Dumbbell Rear Delt Fly
Standing Dumbbell Shoulder Press,Dumbbell Overhead Press
T-Bar Row,Machine T-Bar Row
One-Arm Face Pull,One-Arm Cable Face Pull
One Arm Lat Pulldown,One-Arm Cable Lat Pulldown
Kroc Row,Dumbbell Kroc Row
Cable Crossover,Cable High-To-Low Crossover
Zydrunas Press,Barbell Zydrunas Press
Dumbbell Rear Delt Fly,Dumbbell Rear Delt Raise
Nautilus Nitro Plus Pec Fly,Machine Fly
45 Degree Plate-Loaded Leg Press,45 Degree Machine Leg Press
Above-The-Knee Rack Pull,Barbell Rack Deadlift
Rack Pull,Rack Deadlift
